native_index,energy_eV,doppler_x,support,Aup_s_inv,Adn_s_inv,Gamma_s_inv,Tvr_2s_s_inv,Tvr_2p_s_inv,Trv_2s_s_inv,Trv_2p_s_inv
209,1.05918679999999998e+01,1.64166399342646196e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.12259512131125810e-02,-1.90433613037099500e-03,-1.84457071105800568e-04,-8.69834423037099506e-03,-2.52760698274158598e-03
210,1.05989120000000003e+01,1.67107714314189457e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.12913244717589376e-02,-1.87565651096425036e-03,-1.76664426209809078e-04,-8.80371131096424966e-03,-2.48761316079468839e-03
211,1.06059289999999997e+01,1.70037755080134320e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.13595036611238466e-02,-1.84745700332828431e-03,-1.69328804858357102e-04,-8.90965770332828415e-03,-2.44984595779556202e-03
212,1.06129460000000009e+01,1.72967795846079957e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.14303482045743695e-02,-1.81949238649006459e-03,-1.62415762247709324e-04,-9.01594218649006372e-03,-2.41440601808430621e-03
213,1.06199349999999999e+01,1.75886144843256488e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.15037070337787994e-02,-1.79201214177660646e-03,-1.55894111976685908e-04,-9.12281854177660577e-03,-2.38088849200219360e-03
214,1.06268969999999996e+01,1.78793219634835395e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.15794603665577440e-02,-1.76500150972682996e-03,-1.49735340313455464e-04,-9.23028430972682931e-03,-2.34917605683091424e-03
215,1.06338329999999992e+01,1.81689437783986637e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.16574899046189995e-02,-1.73844448211126325e-03,-1.43913525815450848e-04,-9.33832758211126240e-03,-2.31916232250773714e-03
216,1.06407399999999992e+01,1.84573546601199564e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.17376796419067404e-02,-1.71235731566602096e-03,-1.38405035554219725e-04,-9.44696471566602164e-03,-2.29071492624071922e-03
217,1.06476209999999991e+01,1.87446798775984848e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.18199400765283888e-02,-1.68670962960932778e-03,-1.33188179686269051e-04,-9.55617772960932858e-03,-2.26376234691905978e-03
218,1.06544749999999997e+01,1.90308776745172486e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.19041831954281706e-02,-1.66150307953353031e-03,-1.28243202983358880e-04,-9.66597647953353067e-03,-2.23820671589463997e-03
219,1.06613009999999999e+01,1.93159062945591791e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.19903167855438947e-02,-1.63673703770861930e-03,-1.23551928422990190e-04,-9.77636033770861931e-03,-2.21395644783527580e-03
220,1.06681270000000001e+01,1.96009349146011073e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.20782934667178505e-02,-1.61219625143323186e-03,-1.19097614374704351e-04,-9.88712225143323180e-03,-2.19117121528461870e-03
221,1.06748989999999999e+01,1.98837086935234379e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.21679909776457214e-02,-1.58828031892528361e-03,-1.14864916960079864e-04,-9.99867031892528318e-03,-2.16932065872043819e-03
222,1.06816709999999997e+01,2.01664824724457662e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.22593978674437297e-02,-1.56458393886699026e-03,-1.10839741335163816e-04,-1.01106030388669905e-02,-2.14879482857674008e-03
223,1.06884160000000001e+01,2.04481288308083322e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.23524309237562809e-02,-1.54130230126815239e-03,-1.07008961621860065e-04,-1.02231283012681525e-02,-2.12930262248812920e-03
224,1.06951339999999995e+01,2.07286477686110629e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.24470204733657646e-02,-1.51842666210247898e-03,-1.03360539700024417e-04,-1.03362330621024779e-02,-2.11078741126328627e-03
225,1.07018240000000002e+01,2.10079975295370286e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.25431254058023852e-02,-1.49595883132961596e-03,-9.98834078882601879e-05,-1.04499357313296171e-02,-2.09318967447276807e-03
226,1.07085139999999992e+01,2.12873472904629261e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.26407275482176753e-02,-1.47370537809189401e-03,-9.65672447762362662e-05,-1.05640427780918939e-02,-2.07668477012578137e-03
227,1.07151499999999995e+01,2.15644422102692943e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.27397117631791734e-02,-1.45202144130569246e-03,-9.34024113749267967e-05,-1.06789218413056927e-02,-2.06078992187347983e-03
228,1.07217859999999998e+01,2.18415371300756624e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.28401123056779472e-02,-1.43054601045953795e-03,-9.03801560669974724e-05,-1.07942160104595366e-02,-2.04589629521841109e-03
229,1.07283950000000008e+01,2.21175046293222658e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.29418475997397312e-02,-1.40945076016565983e-03,-8.74922144434331936e-05,-1.09101010601656591e-02,-2.03174653957407256e-03
230,1.07349770000000007e+01,2.23923447080090364e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.30448864293929347e-02,-1.38873004886654332e-03,-8.47309097026758428e-05,-1.10265838488665443e-02,-2.01830258052639044e-03
231,1.07415310000000002e+01,2.26660156098189691e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.31491852616393134e-02,-1.36838248390251508e-03,-8.20891623285686299e-05,-1.11436627839025144e-02,-2.00552247773679894e-03
232,1.07480580000000003e+01,2.29385590910691371e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.32547241152491096e-02,-1.34839690862858640e-03,-7.95603237552013222e-05,-1.12613434086285876e-02,-1.99338070662052154e-03
233,1.07545850000000005e+01,2.32111025723193097e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.33615106152873472e-02,-1.32860864009318874e-03,-7.71382477465533807e-05,-1.13794566400931881e-02,-1.98205397519415905e-03
234,1.07610580000000002e+01,2.34813912124498756e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.34694278600531805e-02,-1.30932960214455527e-03,-7.48170769016835198e-05,-1.14983316021445552e-02,-1.97109625790862488e-03
235,1.07675310000000000e+01,2.37516798525804461e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.35785485936536568e-02,-1.29024210459167564e-03,-7.25914947966876278e-05,-1.16176541045916754e-02,-1.96089448906198180e-03
236,1.07739759999999993e+01,2.40207993158341833e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.36887931588057579e-02,-1.27150208907646852e-03,-7.04564752439031545e-05,-1.17375840890764690e-02,-1.95120906972928872e-03
237,1.07803950000000004e+01,2.42888331148452289e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.38001489040663131e-02,-1.25309314591867541e-03,-6.84072970728392125e-05,-1.18581181459186755e-02,-1.94203075814763687e-03
238,1.07868130000000004e+01,2.45568251575392014e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.39126440676714917e-02,-1.23487625693121392e-03,-6.64395259053067352e-05,-1.19791212569312130e-02,-1.93352281074027918e-03
239,1.08216249999999992e+01,2.60104460659627193e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.45508856687603216e-01,-1.14050991391224411e-02,-5.69028034013501069e-04,-1.26564959139122440e-01,-1.89438975484807759e-02
