left_index,right_index,left_x,right_x,midpoint_x,forward_abs_s_inv,reverse_abs_s_inv,classification,current_owner,required_owner
125,126,-1.29726663221695020e+02,-1.15717418858372611e+02,-1.22722041040033815e+02,1.08344926433729394e+00,1.06949556456840789e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
126,127,-1.15717418858372611e+02,-1.02476490728385230e+02,-1.09096954793378927e+02,1.80398216611911422e+00,1.78201516350866496e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
127,128,-1.02476490728385230e+02,-9.00038788317328766e+01,-9.62401847800590531e+01,2.05214278564958885e+00,2.02859559040894277e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
128,129,-9.00038788317328766e+01,-7.83037588001301970e+01,-8.41538188159315439e+01,3.33081040462952416e+00,3.29494552698820220e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
129,130,-7.83037588001301970e+01,-6.73719550018625597e+01,-7.28378569009963712e+01,4.20391279982307609e+00,4.16160419004028803e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
130,131,-6.73719550018625597e+01,-5.72084674369299435e+01,-6.22902112193962552e+01,6.82504570963902335e+00,6.76116265499608549e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
131,132,-5.72084674369299435e+01,-4.78174717370470006e+01,-5.25129695869884756e+01,9.60549447026084025e+00,9.52239013193008788e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
132,133,-4.78174717370470006e+01,-3.91947922704990930e+01,-4.35061320037730468e+01,1.61598913822348393e+01,1.60314730082912362e+01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
133,134,-3.91947922704990930e+01,-3.13404290372862135e+01,-3.52676106538926533e+01,2.57614988982407844e+01,2.55749542585941114e+01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
134,135,-3.13404290372862135e+01,-2.42585576691230074e+01,-2.77994933532046105e+01,4.73421903550125549e+01,4.70329813885949690e+01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
