i,j,x_i,x_j,K_i_from_j_sInv,K_j_from_i_sInv,conductance_mean,conductance_difference,relative_difference,combined_standard_error,significance
4,9,-2.0,0.5,0.0017127276458318717,0.001704116644427461,0.0020645833822724394,5.869767592209772e-06,0.0028430760620329386,4.993131441824795e-06,1.1755684104451698
4,10,-2.0,1.0,0.0019022468085010391,0.0018951150941962766,0.002294003335879526,2.5679916477363424e-06,0.0011194367538928485,2.7267187162074098e-06,0.9417882499109257
4,11,-2.0,1.5,0.0022216487568433286,0.0022163309700917295,0.002680416948876316,-1.821800210316353e-06,-0.0006796704561505208,1.4324973901633695e-06,1.2717651165204464
4,12,-2.0,2.0,0.001637404514811306,0.0016311762465605387,0.0019736963528799775,5.829959097828664e-07,0.00029538277705796573,5.153694506101189e-07,1.1312193788217135
4,13,-2.0,2.5,0.00022221124754413102,0.0002211210422019589,0.00026764219149646984,2.5778592528116154e-07,0.0009631737202561417,1.7535168152640893e-07,1.4701080881413593
4,14,-2.0,3.0,1.2196933905287495e-05,1.2201236657582502e-05,1.4726160508840893e-05,-6.99083636416875e-08,-0.004747222712920847,6.03065289534788e-09,11.592171669441576
4,15,-2.0,3.5,4.368940602640337e-07,4.3710061440639076e-07,5.27407045342857e-07,-2.798753271668058e-09,-0.005306628526072577,1.772199486416536e-10,15.792540812249406
4,16,-2.0,4.0,1.0763009937526564e-08,1.0760990178168705e-08,1.2985676684691616e-08,-6.604180011680666e-11,-0.0050857419078253465,5.603730619191866e-12,11.785327419313168
5,6,-1.5,-1.0,0.01402550231964134,0.014024062029309508,0.016956068306182123,-5.710040950943074e-06,-0.0003367550099371334,3.914983768486574e-06,1.4585094826971454
5,7,-1.5,-0.5,0.012115133538663352,0.012100565156430175,0.014635263199076987,4.746445349859338e-06,0.00032431568092049657,8.322606831989697e-06,0.5703075305222125
5,8,-1.5,0.0,0.011475175219575686,0.01145388948601319,0.013854611384794978,7.458019926884912e-06,0.0005383059632455563,6.000206303500577e-06,1.2429605832942499
5,9,-1.5,0.5,0.01209596291504247,0.012079819968124829,0.014604719284783371,-6.168179905532284e-06,-0.0004223415585918792,9.151869034968767e-06,0.6739803511134198
5,10,-1.5,1.0,0.013988403420474853,0.01396672975046734,0.01688413383876379,-1.091819134515018e-05,-0.0006466539207408687,5.752595848033041e-06,1.8979590490236486
5,11,-1.5,1.5,0.011439212238258292,0.011409867625743378,0.013797177779938139,-9.40272086299293e-07,-6.814959561269847e-05,5.143803325979892e-06,0.18279705243593694
5,12,-1.5,2.0,0.002213672469933275,0.00220659702927972,0.002668545853946315,3.3410454257061864e-07,0.00012520097493417103,1.5368244850316285e-06,0.2173992839291226
5,13,-1.5,2.5,0.00019170017278346196,0.00019067677431037464,0.0002307923343406319,4.240165184536324e-07,0.0018372209790461077,2.905332279430144e-07,1.4594424240410795
5,14,-1.5,3.0,1.0881698146060875e-05,1.0877978462159858e-05,1.313072674216118e-05,-4.744365307638842e-08,-0.0036131780066713725,2.2169011668986497e-07,0.21400887772890692
5,15,-1.5,3.5,4.100158991942042e-07,2.9329555620869403e-07,4.2416081243834843e-07,1.3897267313970373e-07,0.327641472442491,1.4123913901835154e-07,0.9839529899828027
5,16,-1.5,4.0,1.2276504098793045e-08,1.2284608608014796e-08,1.481475334365064e-08,-8.139091795957645e-11,-0.005493909758170848,3.049824195569553e-12,26.68708513684565
6,7,-1.0,-0.5,0.05768683946142242,0.057678550855514016,0.06970817672848667,-2.0616767564332616e-05,-0.0002957582385870587,1.5989636919616016e-05,1.289383096563003
6,8,-1.0,0.0,0.05346471522688259,0.05340108213311298,0.06455820004654886,2.014179760816137e-05,0.00031199441114588677,1.6956717685687926e-05,1.187835876111906
6,9,-1.0,0.5,0.057706161510888386,0.05760624308559839,0.0696455229149688,2.8878477718652373e-05,0.00041464944923897713,1.8388453614802253e-05,1.5704679862479523
6,10,-1.0,1.0,0.0510154390113633,0.05092726162868456,0.06155706078884997,-1.7153843735809304e-06,-2.7866573738225715e-05,1.2573664486614609e-05,0.13642676527650757
6,11,-1.0,1.5,0.013950689211873993,0.013920505194917006,0.01682603558049791,-5.265479253620253e-07,-3.129364150235821e-05,6.895882480412185e-06,0.07635685887305785
6,12,-1.0,2.0,0.0018936689560364885,0.0018888417898182443,0.002283026056883186,-1.9257337057409715e-07,-8.435005373394667e-05,2.2441891385696104e-06,0.08580977746681305
6,13,-1.0,2.5,0.00017012288469942064,0.00017020535502223293,0.00020536871608816326,-7.312796459143795e-07,-0.00356081325259124,7.179332923511423e-08,10.18589963309167
6,14,-1.0,3.0,1.0027233168392933e-05,1.0030494900579973e-05,1.210104102122311e-05,-4.6478263673882395e-08,-0.0038408483693566234,2.9574284116174883e-09,15.715769650181429
