target_i,source_j,x_i,x_j,base_symmetric_rate_s^-1,completed_i_from_j_s^-1,completed_j_from_i_s^-1,Pi_i_m^-3,Pi_j_m^-3,conductance_i_j_m^-3_s^-1,relative_balance_residual,log_rate_ratio,log_Pi_ratio
2,6,-3.0,-1.0,1.2655018955423368e-05,1.2666146358067373e-05,1.2643901328372199e-05,1.210868567141418,1.2087419686898015,1.5310102684563517e-05,0.0,0.0017578027270922856,0.0017578027270922856
2,7,-3.0,-0.5,1.0898904858078453e-05,1.0910885269452929e-05,1.0886937601480436e-05,1.210868567141418,1.2082109020951715,1.318265053406264e-05,-1.2850722926556423e-16,0.002197254078912782,0.0021972540789130038
2,8,-3.0,0.0,9.948403126759142e-06,9.961527281783455e-06,9.935296262602006e-06,1.210868567141418,1.2076800684591948,1.203033794962238e-05,1.408161517658592e-16,0.002636705735456772,0.0026367057354565503
2,9,-3.0,0.5,9.691758381125796e-06,9.706676539119616e-06,9.676863150798003e-06,1.210868567141418,1.2071494677511034,1.1717409417830367e-05,0.0,0.0030761576376915735,0.0030761576376915735
2,10,-3.0,1.0,1.0030495098973902e-05,1.004814225813891e-05,1.001287893282418e-05,1.210868567141418,1.2066190998170574,1.2124280366349306e-05,0.0,0.003515609828516558,0.003515609828516558
2,11,-3.0,1.5,1.0886758469565439e-05,1.0908308674632156e-05,1.0865250838590845e-05,1.210868567141418,1.206088964566291,1.3156390714556589e-05,0.0,0.0039550622986465524,0.0039550622986465524
2,12,-3.0,2.0,1.2204938494943409e-05,1.2231785371790681e-05,1.2178150542838072e-05,1.210868567141418,1.2055590619049625,1.4746139698238817e-05,-1.1488199143474333e-16,0.0043945150413684875,0.0043945150413684875
2,13,-3.0,2.5,1.3937840569904592e-05,1.3971568852017236e-05,1.3904193710073606e-05,1.210868567141418,1.205029391709487,1.6836151114973544e-05,0.0,0.004833968074677111,0.004833968074677111
2,14,-3.0,3.0,8.287917584628992e-06,8.30979926056352e-06,8.266093528346479e-06,1.210868567141418,1.2044999539311483,1.000915282652585e-05,0.0,0.005273421354477981,0.005273421354477981
2,15,-3.0,3.5,5.435423386053703e-07,5.450971528651481e-07,5.419919592382894e-07,1.210868567141418,1.2039707483986715,6.562810270850374e-07,0.0,0.0057128749384319725,0.0057128749384319725
2,16,-3.0,4.0,1.1856474529690627e-08,1.1893003149479501e-08,1.1820058105286461e-08,1.210868567141418,1.2034417750997495,1.4312536821476522e-08,0.0,0.006152328752243763,0.006152328752243763
3,4,-2.5,-2.0,0.00023978591160230504,0.00023983860441145465,0.00023973323036982443,1.2103365675117117,1.2098048013426892,0.00029015789516430773,0.0,0.00043945050848988066,0.00043945050848988066
3,5,-2.5,-1.5,0.00020310756714575604,0.0002031968425168621,0.0002030183309981526,1.2103365675117117,1.209273268416411,0.00024572050988226054,0.0,0.0008789013401742,0.0008789013401739781
3,6,-2.5,-1.0,0.00017707593942931988,0.00017719270215765345,0.00017695925364283866,1.2103365675117117,1.2087419686898015,0.00021418025564350768,-1.2655253506304807e-16,0.001318352446193843,0.001318352446193843
3,7,-2.5,-0.5,0.00016102580037552697,0.00016116738846917405,0.00016088433666925413,1.2103365675117117,1.2082109020951715,0.0001947241958106637,2.7839431252285343e-16,0.0017578037980148912,0.0017578037980146696
3,8,-2.5,0.0,0.00015465231334662745,0.00015482231203169363,0.0001544825013242751,1.2103365675117117,1.2076800684591948,0.0001869758203934466,1.4496555894286976e-16,0.002197255454558215,0.002197255454558215
3,9,-2.5,0.5,0.0001577699717859746,0.00015797810557544696,0.00015756211220965453,1.2103365675117117,1.2071494677511034,0.0001907031860617284,0.0,0.002636707356793117,0.002636707356793117
3,10,-2.5,1.0,0.0001702134075539555,0.0001704754107926349,0.00016995180698740786,1.2103365675117117,1.2066190998170574,0.00020569888671155217,0.0,0.0030761595476183554,0.0030761595476183554
3,11,-2.5,1.5,0.00019180360861934776,0.00019214105865406186,0.00019146675123529728,1.2103365675117117,1.206088964566291,0.00023173921048274848,0.0,0.003515612017748266,0.003515612017748266
3,12,-2.5,2.0,0.00022221547286318063,0.00022265534594443894,0.00022177646878565894,1.2103365675117117,1.2055590619049625,0.0002684241699849027,-2.0195688274764607e-16,0.0039550647604702106,0.0039550647604702106
3,13,-2.5,2.5,0.00014713501362593136,0.00014745866278394746,0.00014681207482819867,1.2103365675117117,1.205029391709487,0.00017769202271683456,1.525395113281564e-16,0.0043945177937789615,0.00439451779377874
3,14,-2.5,3.0,1.3937840569904594e-05,1.3971568872966925e-05,1.3904193689224947e-05,1.2103365675117117,1.2044999539311483,1.6828754063834525e-05,0.0,0.004833971073579802,0.004833971073579582
3,15,-2.5,3.5,4.833192712855129e-07,4.845953267231061e-07,4.820465760071908e-07,1.2103365675117117,1.2039707483986715,5.834385981853168e-07,1.8147431235455784e-16,0.005273424657533644,0.005273424657533644
3,16,-2.5,4.0,1.0944740902606266e-08,1.0976048582900677e-08,1.0913522523196231e-08,1.2103365675117117,1.2034417750997495,1.3209035390187081e-08,-1.2524466596062503e-16,0.005712878471345328,0.005712878471345328
4,5,-2.0,-1.5,0.0022471949952815227,0.002247688815386766,0.002246701283669187,1.2098048013426892,1.209273268416411,0.002718070000165766,1.595547093959144e-16,0.00043945083168429015,0.0004394508316840682
4,6,-2.0,-1.0,0.0019126152517614458,0.001913455937093336,0.0019117749357883754,1.2098048013426892,1.2087419686898015,0.002312874496403388,0.0,0.0008789019377041821,0.0008789019377039602
4,7,-2.0,-0.5,0.0017111494242725922,0.0017122777458495311,0.001710021846213803,1.2098048013426892,1.2082109020951715,0.0020687926399503486,0.0,0.0013183532895247063,0.0013183532895247063
4,8,-2.0,0.0,0.001641518842088369,0.0016429622112556649,0.0016400767409444881,1.2098048013426892,1.2076800684591948,0.0019841727157651114,0.0,0.0017578049460682111,0.0017578049460682111
