lambda,alpha,mode,observable,base_decimal120,hires_decimal120,delta_hires_minus_base,absolute_difference,mean_positive_scale,absolute_difference_over_mean_positive,alpha_JVP_difference,abs_alpha_JVP_difference_over_mean_positive,API_difference,API_alpha_JVP_difference
32,-1/8,raw,S,-0.00000000000000256403266131918161089825870570706804673529385980013756073206073151981847122866237992054163307363847129030757730045657891,-0.00000000000000256396473476258530850506735549202340315077230754305654683955317645128121619442620338036929448180818509462441582965970444,0.0000000000000000000679265565963023931913502150446435845215522570810138925075550685372550342361765401723385918302861956831614707968744699047,0.0000000000000000000679265565963023931913502150446435845215522570810138925075550685372550342361765401723385918302861956831614707968744699047,0.000000000000109969687601281141869364796861232542382924496624099761150353508284433227769243600854391529260636995957079638558681712503,0.000000617684364464003914202111405919739009077859003477862002602899292764061475389950031384808241842507501936257031041772020464,-0.000000000000000000589526001901704970169185830778638281010382532441626021385081366376784171544801519163832117676064477315163055679814699806,0.00000536080455224314940223423649642771425690492669725765030554882591944796235383621440651733340632933249738023974807813904811,6.792655658822483e-20,-5.895260018978832e-19
32,-1/8,raw,1,-0.00000000000000512806532263836322179651741141413609347058771960027512146412146303963694245732475984108326614727694258061515460091315782,-0.00000000000000512792946952517061701013471098404680630154461508611309367910635290256243238885240676073858896361637018924883165931940887,0.000000000000000000135853113192604786382700430089287169043104514162027785015110137074510068472353080344677183660572391366322941593748950128,0.000000000000000000135853113192604786382700430089287169043104514162027785015110137074510068472353080344677183660572391366322941593748950128,0.000000000000219939375202562283738729593722465084765848993248199522300707016568866455538487201708783058521273991914159277117363425004,0.000000617684364464003914202111405919739009077859003477862002602899292764061475389950031384808241842507501936257031041772067383,-0.00000000000000000117905200380340994033837166155727656202076506488325204277016273275356834308960303832766423535212895463032611135962939961,0.00000536080455224314940223423649642771425690492669725765030554882591944796235383621440651733340632933249738023974807813904814,1.3585311317644967e-19,-1.1790520037957665e-18
32,-1/8,raw,u,-0.00000000000000256403266131918161089825870570706804673529385980013756073206073151981847122866237992054163307363847129030757730045657891,-0.00000000000000256396473476258530850506735549202340315077230754305654683955317645128121619442620338036929448180818509462441582965970444,0.0000000000000000000679265565963023931913502150446435845215522570810138925075550685372550342361765401723385918302861956831614707968744699047,0.0000000000000000000679265565963023931913502150446435845215522570810138925075550685372550342361765401723385918302861956831614707968744699047,0.000000000000109969687601281141869364796861232542382924496624099761150353508284433227769243600854391529260636995957079638558681712503,0.000000617684364464003914202111405919739009077859003477862002602899292764061475389950031384808241842507501936257031041772020464,-0.000000000000000000589526001901704970169185830778638281010382532441626021385081366376784171544801519163832117676064477315163055679814699806,0.00000536080455224314940223423649642771425690492669725765030554882591944796235383621440651733340632933249738023974807813904811,6.792655658822483e-20,-5.895260018978832e-19
32,-1/8,raw,u^2,-0.00000000000000149500082159556585564309832874221346535974255643290310093642589763431833826196778749821215075611999782954626031247831507,-0.00000000000000149502314510282673111635243344737134393859958508422433994750123206972131784855349403622449902275888536545047107184023343,-0.0000000000000000000223235072608754732541047051578785788570286513212390110753344354029795865857065380123482666388875359042107593619183600300,0.0000000000000000000223235072608754732541047051578785788570286513212390110753344354029795865857065380123482666388875359042107593619183600300,0.0000000000000689359622365047294494327802222273754535833159778558849235654322615079076847460791641183721996417886133955128349280089473,0.000000323829631684667486395750249287309263455447458681078129139537520457368617980400020943359359442009791062117200482446439198,0.000000000000000000164713585191988115272993774519187431723601649383526021418229048133642560767885196998358332645529870783022670208145100884,0.00000238937094439750600004575149295389258012307340486682817870753442197446311064858287918781818966259484628683622766266356870,-2.232350726584685e-20,1.6471358519327606e-19
32,-1/8,raw,window,-0.000000000000000313913983973577678586741134847259320973032005203002197001489145352134517632605674962118950175914632377162807503848468829,-0.000000000000000313948211071970157133956833472918210622142412591058040683458467750744004362691445766918957014622262669756819036319376307,-0.0000000000000000000342270983924785472156986256588896491104073880558436819693223986094867300857708048000068387076302925940115324709074780005,0.0000000000000000000342270983924785472156986256588896491104073880558436819693223986094867300857708048000068387076302925940115324709074780005,0.0000000000000134078267184466343746880944735491225512677460945088731866033789657993583366160094772185941719485172149263105681501027826,0.00000255277004329035156640746344315616378183730265782312064894033068914945080312733151134420098978879529912415210549362462040,0.000000000000000000282973092925834824218356636986028340618876517516455928695061452210329070797897507373833847448923571826083731287007809919,0.0000211050678732681825091908761935301105401032832434043117651957101656892100038595729954785214200559075864029220663796345320,-3.422709839406921e-20,2.8297309292948484e-19
32,0,raw,S,0.0,0.0,0.0,0.0,0.000000000000107383887031778319792773799998786576045728080118386725452143948251458789564313854113785017211132234992073362613387074218,0.0,-0.000000000000000000498624086581506847564833511325918982029053652312909293862172705474281146239284167736203780403781046735788000848156502229,0.00000464337900558533576463190153084013457732657706047804046974350980045456900466817909590208496779893777942281443197393131386,7.891690540121138e-30,-4.986240865852147e-19
32,0,raw,1,0.0,0.0,0.0,0.0,0.000000000000214767774063556639585547599997573152091456160236773450904287896502917579128627708227570034422264469984146725226774148436,0.0,-0.000000000000000000997248173163013695129667022651837964058107304625818587724345410948562292478568335472407560807562093471576001696312899896,0.00000464337900558533576463190153084013457732657706047804046974350980045456900466817909590208496779893777942281443197393082700,1.5783381080242275e-29,-9.972481731704293e-19
32,0,raw,u,0.0,0.0,0.0,0.0,0.000000000000107383887031778319792773799998786576045728080118386725452143948251458789564313854113785017211132234992073362613387074218,0.0,-0.000000000000000000498624086581506847564833511325918982029053652312909293862172705474281146239284167736203780403781046735788000848156502229,0.00000464337900558533576463190153084013457732657706047804046974350980045456900466817909590208496779893777942281443197393131386,7.891690540121138e-30,-4.986240865852147e-19
32,0,raw,u^2,0.0,0.0,0.0,0.0,0.0000000000000674213187230519230299213869011270398071722198129540647265731757750301741862423839250745705007895387563794028155923241905,0.0,0.000000000000000000191927669899168947726730443819394472669941651898392538417202642904467817122295351320489591917300045263449027550135399623,0.00000284669112877418760627516234089806655255562572462099323026823484064664306557798838220499966025811780601578485184866348011,3.817062468922449e-30,1.9192766989594488e-19
32,0,raw,window,0.0,0.0,0.0,0.0,0.0000000000000130937703824490425755869903134291506532289878591921170207277416627249900459015345780771207419760616245787812901639551033,0.0,0.000000000000000000264838382524808003857829355660434995686610340727360587089111930948638354034750824907144651890231407124678765860356850058,0.0000202262888984061259518979183369061516610223911148025082370625855763572966249701635406534777636190021307686178905730819995,6.722467441726206e-30,2.648383825247715e-19
32,1/8,raw,S,0.00000000000000243372432007554303551652302168884089469711307435247151617269050820730988296055425634509122725694282048963732598821849537,0.00000000000000243366727138861420939456863673222646536806079779055207508011581302168343597582924926289003993626860967666778813425047919,-0.0000000000000000000570486869288261219543849566144293290522765619194410925746951856264469847250070822011873206742108129695378539680161800606,0.0000000000000000000570486869288261219543849566144293290522765619194410925746951856264469847250070822011873206742108129695378539680161800606,0.000000000000104928602553200776809527308147162794104373019387104887530463079197990233432919068205116298248594461214144573951424792951,0.000000543690524229571853121674858253383401819828896594917665089562743147293233310305546387899067421756898657570823997985124718,-0.000000000000000000415384838540459143024267808298301115249537413834966940556384550484192316190475073188340681255451421160439884431080200737,0.00000395873792686652059556050226246142954626269112805175390346309175068831927912103847471369582552187213876613739513739546362,-5.704868691024152e-20,-4.153848385518825e-19
