table,lambda,alpha,mode,observable,dps,api_inputs_exact_value,api_inputs_exact_jvp,api_inputs_exact_plus,api_inputs_exact_minus,api_inputs_exact_jvp_scale,decimal_tokens_value,decimal_tokens_jvp,decimal_tokens_plus,decimal_tokens_minus,decimal_tokens_jvp_scale
base,2,0,raw,S,80,0.00000000000000015809995900328548267752416629572229045026483112905981899212096042834348692612216,0.68359405190715676909068024624621748707406286449709659992810326342360142315672985,2.2815673178311102529614188509825964544243664836708417604592256492727506854243582,2.2815673178311100948614598476971137769002001879485513101943945202129316933033978,2.3924394146577551773537701682841197490456271774563226433249871247014968965809689,0.0,0.68359405190715680728637683580344780812369819320467409151782837102202790112180811,2.2815673178311107909581737515847600642247447763141650026544671967332367059237308,2.2815673178311107909581737515847600642247447763141650026544671967332367059237308,2.3924394146577558121917522292532548234144300660417989568708214760573709182517160
base,2,0,raw,1,80,0.00000000000000031619991800657096535504833259144458090052966225811963798424192085668697385224432,1.3671881038143135381813604924924349741481257289941931998562065268472028463134597,4.5631346356622205059228377019651929088487329673416835209184512985455013708487164,4.5631346356622201897229196953942275538004003758971026203887890404258633866067956,4.7848788293155103547075403365682394980912543549126452866499742494029937931619378,0.0,1.3671881038143136145727536716068956162473963864093481830356567420440558022436162,4.5631346356622215819163475031695201284494895526283300053089343934664734118474617,4.5631346356622215819163475031695201284494895526283300053089343934664734118474617,4.7848788293155116243835044585065096468288601320835979137416429521147418365034319
base,2,0,raw,u,80,0.00000000000000015809995900328548267752416629572229045026483112905981899212096042834348692612216,0.68359405190715676909068024624621748707406286449709659992810326342360142315672985,2.2815673178311102529614188509825964544243664836708417604592256492727506854243582,2.2815673178311100948614598476971137769002001879485513101943945202129316933033978,2.3924394146577551773537701682841197490456271774563226433249871247014968965809689,0.0,0.68359405190715680728637683580344780812369819320467409151782837102202790112180811,2.2815673178311107909581737515847600642247447763141650026544671967332367059237308,2.2815673178311107909581737515847600642247447763141650026544671967332367059237308,2.3924394146577558121917522292532548234144300660417989568708214760573709182517160
base,2,0,raw,u^2,80,0.00000000000000011466870191306991838742570768398396056689604078793683077309734806175502975709495,0.42134101818680774217243391183649911858474354228122708772815537300823991846874040,1.5979732659239533773823568745246388647454806257822269514033915060594754656990135,1.5979732659239532627136549614547204773197729417982663845073507181226446926016655,1.6661697346044462533445027287578902549958547048759382862374283636517478716546168,0.0,0.42134101818680778688294653118168297002820476104053084321457178699598312421455352,1.5979732659239539836717969157813122561010465831094909111366388257112088048019227,1.5979732659239539836717969157813122561010465831094909111366388257112088048019227,1.6661697346044469372732481402916733192966985905379858948753717876105864894447415
base,2,0,raw,window,80,0.0000000000000000066383524862832901197587046523555451262640644536894154770590206325129622898340014,0.085787835083798863608279548498250140736167964298413454992213788202997168970382205,0.22974152767986087705817208284806264532145732013521104950831189166326209917491040,0.22974152767986087041981959656477252556275266777966592324424743797384662211588977,0.24364266295775133885919336442633328217361411913056898567822104876086691822275629,0.0,0.085787835083798929830330898756927735688157433136031812564034244060297946162956537,0.22974152767986104603667594843643341351322214508514934577858243958844200497578080,0.22974152767986104603667594843643341351322214508514934577858243958844200497578080,0.24364266295775151786364107893566264608246744051721536082735930074360211805570515
base,2,0,raw,S,120,0.000000000000000158099959003285482677524166295722290450264831129059818992120960428343486926122158522198146073911724639345340475261456408,0.683594051907156769090680246246217487074062864497096599928103263423601423156729845515167620082133300445037494086577664892,2.28156731783111025296141885098259645442436648367084176045922564927275068542435821384519432100656657805958212088810901975,2.28156731783111009486145984769711377690020018794855131019439452021293169330339778550170739488440805586143604697638438040,2.39243941465775517735377016828411974904562717745632264332498712470149689658096889982150535503853725130686107380698332564,0.0,0.683594051907156807286376835803447808123698193204674091517828371022027901121808107888043365219121225603275708236282825213,2.28156731783111079095817375158476006422474477631416500265446719673323670592373084913263101744686175002703070450939888826,2.28156731783111079095817375158476006422474477631416500265446719673323670592373084913263101744686175002703070450939888826,2.39243941465775581219175222925325482341443006604179895687082147605737091825171596224183075435729236091912787965507312359
base,2,0,raw,1,120,0.000000000000000316199918006570965355048332591444580900529662258119637984241920856686973852244317044396292147823449278690680950522912816,1.36718810381431353818136049249243497414812572899419319985620652684720284631345969103033524016426660089007498817315532978,4.56313463566222050592283770196519290884873296734168352091845129854550137084871642769038864201313315611916424177621803950,4.56313463566222018972291969539422755380040037589710262038878904042586338660679557100341478976881611172287209395276876081,4.78487882931551035470754033656823949809125435491264528664997424940299379316193779964301071007707450261372214761396665129,0.0,1.36718810381431361457275367160689561624739638640934818303565674204405580224361621577608673043824245120655141647256565043,4.56313463566222158191634750316952012844948955262833000530893439346647341184746169826526203489372350005406140901879777652,4.56313463566222158191634750316952012844948955262833000530893439346647341184746169826526203489372350005406140901879777652,4.78487882931551162438350445850650964682886013208359791374164295211474183650343192448366150871458472183825575931014624717
base,2,0,raw,u,120,0.000000000000000158099959003285482677524166295722290450264831129059818992120960428343486926122158522198146073911724639345340475261456408,0.683594051907156769090680246246217487074062864497096599928103263423601423156729845515167620082133300445037494086577664892,2.28156731783111025296141885098259645442436648367084176045922564927275068542435821384519432100656657805958212088810901975,2.28156731783111009486145984769711377690020018794855131019439452021293169330339778550170739488440805586143604697638438040,2.39243941465775517735377016828411974904562717745632264332498712470149689658096889982150535503853725130686107380698332564,0.0,0.683594051907156807286376835803447808123698193204674091517828371022027901121808107888043365219121225603275708236282825213,2.28156731783111079095817375158476006422474477631416500265446719673323670592373084913263101744686175002703070450939888826,2.28156731783111079095817375158476006422474477631416500265446719673323670592373084913263101744686175002703070450939888826,2.39243941465775581219175222925325482341443006604179895687082147605737091825171596224183075435729236091912787965507312359
base,2,0,raw,u^2,120,0.000000000000000114668701913069918387425707683983960566896040787936830773097348061755029757094954691138283835957249467772786631555188845,0.421341018186807742172433911836499118584743542281227087728155373008239918468740400055248769863669117380946730407182544052,1.59797326592395337738235687452463886474548062578222695140339150605947546569901352547476698011668493713975609307248303169,1.59797326592395326271365496145472047731977294179826638450735071812264469260166546371973722302173024600147225711523356391,1.66616973460444625334450272875789025499585470487593828623742836365174787165461682194216233770043305458718236588931455234,0.0,0.421341018186807786882946531181682970028204761040530843214571786995983124214553517207712381574553855557619398645407561013,1.59797326592395398367179691578131225610104658310949091113663882571120880480192274124458765222774052442375499627311606304,1.59797326592395398367179691578131225610104658310949091113663882571120880480192274124458765222774052442375499627311606304,1.66616973460444693727324814029167331929669859053798589487537178761058648944474155015426794609533762908909724529557912080
base,2,0,raw,window,120,0.00000000000000000663835248628329011975870465235554512626406445368941547705902063251296228983400143763823121502130368599925648163077488297,0.0857878350837988636082795484982501407361679642984134549922137882029971689703822050150615949422404044808935252885026571542,0.229741527679860877058172082848062645321457320135211049508311891663262099174910404278350541610966012059862939244052932498,0.229741527679860870419819596564772525562752667779665923244247437973846622115889771765388251776964574421631724222749246499,0.243642662957751338859193364426333282173614119130568985678221048760866918222756286835237505418602929016427636815034733860,0.0,0.0857878350837989298303308987569277356881574331360318125640342440602979461629565364529449993344310831774708141242244091488,0.229741527679861046036675948436433413513222145085149345778582439588442004975780799054512633780061454329701137381375486771,0.229741527679861046036675948436433413513222145085149345778582439588442004975780799054512633780061454329701137381375486771,0.243642662957751517863641078935662646082467440517215360827359300743602118055705152329782712247675775475363845056054706652
