table,lambda,alpha,mode,observable,value_API_per_H_s,alpha_JVP_API_per_H_s,A_plus,A_minus,positive_scale,jvp_component_scale,abs_net_over_positive,cancellation_fraction,API_exact_abs_residual,API_exact_scaled_residual,API_JVP_exact_abs_residual,API_JVP_exact_scaled_residual,decimal120_value,decimal120_alpha_JVP,decimal120_positive_scale,API_minus_decimal120,API_JVP_minus_decimal120
base,8,0,raw,S,3.245194979168038e-20,0.0006125531232069127,0.0018512813552707219,0.0018512813552707219,0.0037025627105414438,0.0007704053841982099,8.764726576888896e-18,1.0,8.169515642737845e-22,2.206448960196863e-19,5.221977170158703e-21,6.778219982968334e-18,0.0,0.000612553123206912695877305465717549442553636661666383435984763663682359641444903509973619986326162958102614115309117870777,0.00370256271054144450553600858472041181086695680285144179295648384244977730913010328056503642367889977862554249197330619078,0.0000000000000000000324519497916803817405551058072887826710939407348632812500000000000000000000000000000000000000000000000000000000000000000,0.0000000000000000000225643913200141154889643890346112349722183613363176403585550964900263800136738370418973858846908821292230440600095299724
base,8,0,raw,1,6.490389958336076e-20,0.0012251062464138254,0.0037025627105414438,0.0037025627105414438,0.0074051254210828876,0.0015408107683964197,8.764726576888896e-18,1.0,1.633903128547569e-21,2.206448960196863e-19,1.0443954340317405e-20,6.778219982968334e-18,0.0,0.00122510624641382539175461093143509888510727332333276687196952732736471928288980701994723997265232591620522823061823574155,0.00740512542108288901107201716944082362173391360570288358591296768489955461826020656113007284735779955725108498394661238154,0.0000000000000000000649038995833607634811102116145775653421878814697265625000000000000000000000000000000000000000000000000000000000000000000,0.0000000000000000000451287826400282309779287780692224699444367226726352807171101929800527600273476740837947717693817642584500590394629972341
base,8,0,raw,u,3.245194979168038e-20,0.0006125531232069127,0.0018512813552707219,0.0018512813552707219,0.0037025627105414438,0.0007704053841982099,8.764726576888896e-18,1.0,8.169515642737845e-22,2.206448960196863e-19,5.221977170158703e-21,6.778219982968334e-18,0.0,0.000612553123206912695877305465717549442553636661666383435984763663682359641444903509973619986326162958102614115309117870777,0.00370256271054144450553600858472041181086695680285144179295648384244977730913010328056503642367889977862554249197330619078,0.0000000000000000000324519497916803817405551058072887826710939407348632812500000000000000000000000000000000000000000000000000000000000000000,0.0000000000000000000225643913200141154889643890346112349722183613363176403585550964900263800136738370418973858846908821292230440600095299724
base,8,0,raw,u^2,3.473053567558965e-20,0.00036759550390901377,0.0012387282320638093,0.0012387282320638093,0.0024774564641276186,0.000491846737919186,1.4018626029749122e-17,1.0,1.1773332300885603e-21,4.752185344670152e-19,2.5130631882299942e-20,5.10944364267169e-17,0.0,0.000367595503909013735696157606278681956987951089400445838921832388008826177934811934788364249038841893949377576417971509189,0.00247745646412761911378139765328531292575968347951867492098695651508505802624029626061779645102657386242031426135507044922,0.0000000000000000000347305356755896517766146928094648013703434291879038232778512118592573187925154343247413635253906250000000000000000000000,0.0000000000000000000301374778612938668480495622858818417587344176119911738220651880652116357509611581060506224235820284908109993458824638629
base,8,0,raw,window,-6.000697740826827e-20,7.53601801527305e-05,0.0002014760969150747,0.00020147609691507475,0.00040295219383014945,8.748409822086486e-05,1.4891835390667245e-16,0.9999999999999999,3.09564944067128e-21,7.682423592849687e-18,7.771814714819634e-21,8.88368843352387e-17,0.0,0.0000753601801527305404038842261605659750798944585940533422557745143812259375559000957819261809232113161536540845136600057885,0.000402952193830149682913068371149879533354675380151303958404538963107808885568120057607363939994277944378306932392231488040,-0.0000000000000000000600069774082682654808741705312008266581045668228637068441350121972277520399075001478195190429687500000000000000000000000,-0.0000000000000000000416643097766090400164116867088696652196971807643812259375559000957819261809232113161536540845136600057884957259274220936
base,8,1/8,raw,S,7.44356101740606e-05,0.0005787529643256611,0.0018415637843078065,0.0017671281741337458,0.0036086919584415525,0.0007318952923418622,0.020626756462251854,0.9793732435377481,3.617103290060366e-21,1.0023308533162931e-18,5.525916921355438e-20,7.550146829984429e-17,0.0000744356101740605330139246166719425691377520135448076071077406711692869981698949994742358494663352858220361155235420719292,0.000578752964325661117159804815897077933803287074349496923864086321656502741759012982499971634438442938511268132650971258416,0.00360869195844155297491238864778108490967691226765928990816261653757910862443959430141091550504473698678519064977060153739,0.0000000000000000000654204996684694327523351265543296240029996812038307130018301050005257641505336647141779638844764579280708005402742685073,-0.0000000000000000000409761336882597244409025578949671727051140863216565027417590129824999716344384429385112681326509712584160030323231041617
base,8,1/8,raw,1,0.0001488712203481212,0.0011575059286513222,0.003683127568615613,0.0035342563482674916,0.007217383916883105,0.0014637905846837244,0.020626756462251854,0.9793732435377481,7.234206580120733e-21,1.0023308533162931e-18,1.1051833842710876e-19,7.550146829984429e-17,0.000148871220348121066027849233343885138275504027089615214215481342338573996339789998948471698932670571644072231047084143858,0.00115750592865132223431960963179415586760657414869899384772817264331300548351802596499994326887688587702253626530194251683,0.00721738391688310594982477729556216981935382453531857981632523307515821724887918860282183101008947397357038129954120307477,0.000000000000000000130840999336938865504670253108659248005999362407661426003660210001051528301067329428355927768952915856142002899777983050,-0.0000000000000000000819522673765194488818051157899343454102281726433130054835180259649999432688768858770225362653019425168299260592231935527
base,8,1/8,raw,u,7.44356101740606e-05,0.0005787529643256611,0.0018415637843078065,0.0017671281741337458,0.0036086919584415525,0.0007318952923418622,0.020626756462251854,0.9793732435377481,3.617103290060366e-21,1.0023308533162931e-18,5.525916921355438e-20,7.550146829984429e-17,0.0000744356101740605330139246166719425691377520135448076071077406711692869981698949994742358494663352858220361155235420719292,0.000578752964325661117159804815897077933803287074349496923864086321656502741759012982499971634438442938511268132650971258416,0.00360869195844155297491238864778108490967691226765928990816261653757910862443959430141091550504473698678519064977060153739,0.0000000000000000000654204996684694327523351265543296240029996812038307130018301050005257641505336647141779638844764579280708005402742685073,-0.0000000000000000000409761336882597244409025578949671727051140863216565027417590129824999716344384429385112681326509712584160030323231041617
base,8,1/8,raw,u^2,4.4701001504818965e-05,0.0003478143235881055,0.0012310788473658876,0.0011863778458610686,0.002417456693226956,0.0004683691903497662,0.018490921318284125,0.9815090786817159,1.9145183253939063e-21,7.919555832201074e-19,4.308889372827095e-21,9.199771166863743e-18,0.0000447010015048189201830448405195715928221829800655509669574306571554040803912067622241576612278453421044199705552145027216,0.000347814323588105472698850439931279872209784648759902771869387886500713876169438572392848594387523685561908767193024821869,0.00241745669322695677297697615503035946015736441940244865829410203789301731485555546464210513126727139195576319381824311894,0.0000000000000000000452828201810938958409587144286582802098003818428445959196087932377758423387721546578955800294447854972784027610592885871,0.00000000000000000000340568123706389975098099459017938250645092461349928612383056142760715140561247631443809123280697517813100977745110168019
base,8,1/8,raw,window,9.168651352755589e-06,7.137570409873174e-05,0.00020072985511175104,0.00019156120375899544,0.0003922910588707465,8.313378940492038e-05,0.023372063026744917,0.9766279369732551,1.8838354106397298e-20,4.8021370052699133e-17,2.4694008716891575e-21,2.970393734443438e-17,0.00000916865135275564515052290062046508226075222251415406316096546524708385014952804527360109257716191016619534877059901145755,0.0000713757040987317859136535274183050545711380336338193311383372555417996384786594226685418857461393228739936327847251896973,0.000392291058870746764386363389092372769768074530953115335334510154792892573972153657360399647766516932176102077108326347391,-0.0000000000000000000564886455680302319017070562206342831715899205433720838501495280452736010925771619101661953487705990114575493188137807468,-0.0000000000000000000474233166873987816756293254811221272840191966305417996384786594226685418857461393228739936327847251896972984448726143014
