META,temperature_K,3000
META,nH_cm3,250
META,H_s_inv,5.0000000000000002e-14
META,xe,0.5
META,xHII,0.5
Trv,1,61,-7.8663934988385071e-05
Tvr,1,61,-0.00022664884272197226
Tvv,0,61,9.4547690639214181
Tvv,1,61,0
Tvv,2,61,0
sv,62,0,3.1970516915289863e-80
Dtau,62,0,0.00025647689962509274
xv,62,0,5.7050597165913348e-13
Trv,0,62,-0.0011319790427443729
Tvr,0,62,-0.0093891794668796141
Trv,1,62,-8.4411404291345074e-05
Tvr,1,62,-0.00023338294968821489
Tvv,0,62,9.4861911110887078
Tvv,1,62,0
Tvv,2,62,0
sv,63,0,1.8981431587515205e-77
Dtau,63,0,0.00026369929365626591
xv,63,0,5.6309590494019903e-13
Trv,0,63,-0.0011641558543691931
Tvr,0,63,-0.0092679125822495989
Trv,1,63,-9.0615834671765541e-05
Tvr,1,63,-0.00024046597974935468
Tvv,0,63,9.5175225408975841
Tvv,1,63,0
Tvv,2,63,0
sv,64,0,9.7878999878701483e-75
Dtau,64,0,0.00027113548055967277
xv,64,0,5.55867679350812e-13
Trv,0,64,-0.0011970696356250381
Tvr,0,64,-0.009147820355304058
Trv,1,64,-9.7328413271634322e-05
Tvr,1,64,-0.00024792287587926281
Tvv,0,64,9.5488427728578316
Tvv,1,64,0
Tvv,2,64,0
sv,65,0,4.3204938608270288e-72
Dtau,65,0,0.00027876495669746011
xv,65,0,5.4882110094619375e-13
Trv,0,65,-0.0012305843540990613
Tvr,0,65,-0.0090287625556629784
Trv,1,65,-0.00010458563715239091
Tvr,1,65,-0.00025578061930125052
Tvv,0,65,9.5800711650488672
Tvv,1,65,0
Tvv,2,65,0
sv,66,0,1.6355490628064054e-69
Dtau,66,0,0.00028659565070772366
xv,66,0,5.4195863896446871e-13
Trv,0,66,-0.0012646957847460617
Tvr,0,66,-0.0089107227641860385
Trv,1,66,-0.00011243763339807582
Tvr,1,66,-0.00026406892776263192
Tvv,0,66,9.6112064325974931
Tvv,1,66,0
Tvv,2,66,0
sv,67,0,5.4000321755677074e-67
Dtau,67,0,0.0002946704235087389
xv,67,0,5.3528859553557207e-13
Trv,0,67,-0.0012995624261479966
Tvr,0,67,-0.0087938634775191708
Trv,1,67,-0.00012095260783536428
Tvr,1,67,-0.00027282021988145203
Tvv,0,67,9.6423288561764977
Tvv,1,67,0
Tvv,2,67,0
sv,68,0,1.5337855638124788e-64
Dtau,68,0,0.00030296802317098003
xv,68,0,5.2881086587348986e-13
Trv,0,68,-0.0013350295901629586
Tvr,0,68,-0.0086780217115377239
Trv,1,68,-0.00013018126541939254
Tvr,1,68,-0.00028207011441772517
Tvv,0,68,9.6733563812825931
Tvv,1,68,0
Tvv,2,68,0
sv,69,0,3.8093701162632944e-62
Dtau,69,0,0.00031153590269170138
xv,69,0,5.22534976168024e-13
Trv,0,69,-0.0013712658896341435
Tvr,0,69,-0.0085633620810209154
Trv,1,69,-0.00014020701045009432
Tvr,1,69,-0.00029185766861061373
Tvv,0,69,9.704370188631481
Tvv,1,69,0
Tvv,2,69,0
sv,70,0,8.1651176510059489e-60
Dtau,70,0,0.00032035312196366264
xv,70,0,5.1646131082066488e-13
Trv,0,70,-0.001408104767435997
Tvr,0,70,-0.0084497096329088535
Trv,1,70,-0.00015109366405945506
Tvr,1,70,-0.00030222599392690469
Tvv,0,70,9.7352878818571735
Tvv,1,70,0
Tvv,2,70,0
sv,71,0,1.5340986649359586e-57
Dtau,71,0,0.00032947252679024785
xv,71,0,5.1060162965508238e-13
Trv,0,71,-0.0014457253609008176
Tvr,0,71,-0.0083372436044854333
