local_index,virtual_index,centre_eV,centre_Hz,inferred_left_edge_eV,inferred_right_edge_eV,inferred_mode_measure_m3,native_equilibrium_proxy,Aup_s_inv,Adn_s_inv
41,141,10.200540999999999,2466479840144613,10.20006098870595,10.201112483991341,1.4427745736632904e+18,7.3091133034678204e-18,512.46002108311632,1838.4054883486699
42,142,10.201684,2466756216314983.5,10.201112483991341,10.202347978392424,1.6956229896359055e+18,7.2768687351366045e-18,196.16970148706244,514.73078516699115
43,143,10.203011999999999,2467077325286332,10.202347978392424,10.203767971993875,1.9493415539637409e+18,7.2395838345575854e-18,89.56973706876947,197.18000373422328
44,144,10.204523999999999,2467442925259735.5,10.203767971993875,10.205371964768359,2.202584952377238e+18,7.1973654749621625e-18,46.489008220211396,90.09513589443587
45,145,10.20622,2467853016235193,10.205371964768359,10.207160456670602,2.4567536321821353e+18,7.1503023270022357e-18,25.880548288915627,46.794997949361083
46,146,10.208100999999999,2468307840011629,10.207160456670602,10.209133447789091,2.7111890519600952e+18,7.0984653632891482e-18,15.706046128710824,26.069542525538402
47,147,10.210165999999999,2468807154790119.5,10.209133447789091,10.21129043808323,2.9652311297154171e+18,7.0419903265659386e-18,9.7467714658786395,15.832004769771244
48,148,10.212415,2469350960570664.5,10.21129043808323,10.213631927494498,3.2202818291109908e+18,6.980994160248118e-18,6.543377528809124,9.8319335043716656
49,149,10.214848999999999,2469939499152188,10.213631927494498,10.216157916138679,3.4756820967561477e+18,6.9155756950883895e-18,4.3269729222151811,6.6052751543675168
50,150,10.217466999999999,2470572528735766,10.216157916138679,10.218867903961916,3.7307708610295209e+18,6.8458960095395003e-18,3.1399018999524904,4.3710142153020639
51,151,10.220269,2471250049321398,10.218867903961916,10.221762390892483,3.9869520720077358e+18,6.7720966918819046e-18,2.1527076093505064,3.1741191635668957
52,152,10.223255999999999,2471972302708009,10.221762390892483,10.224841377073385,4.2435659629851069e+18,6.6943007062345331e-18,1.6674665023049546,2.1777247123503867
53,153,10.226426999999999,2472739047096674,10.224841377073385,10.228104362437547,4.4999502704906076e+18,6.6126902083766218e-18,1.1642830793767387,1.6880455355162969
54,154,10.229782,2473550282487393.5,10.228104362437547,10.231551846900057,4.7575114018965197e+18,6.5274271233762913e-18,0.95780929561824069,1.1794912717142416
55,155,10.233321999999999,2474406250679091.5,10.231551846900057,10.235183830631085,5.0155886755335997e+18,6.4386541867558239e-18,0.66985840392137708,0.97101509009456011
56,156,10.237045999999999,2475306709872844,10.235183830631085,10.239000313454921,5.274209536538242e+18,6.3465698267106636e-18,0.58583641899692873,0.67957758832022785
57,157,10.240955,2476251901867575,10.239000313454921,10.243000795659688,5.5327108217797243e+18,6.2513273184745396e-18,0.40454010284828679,0.59476196826331262
58,158,10.245047,2477241343065436,10.243000795659688,10.247185276856664,5.7918096977469399e+18,6.1531569008381558e-18,0.37761142059105235,0.4109943297577085
59,159,10.249324,2478275517064276,10.247185276856664,10.251554757238727,6.0529207575668664e+18,6.0521955761203048e-18,0.25326641940804706,0.38391064684241161
60,160,10.253786,2479354423864094,10.251554757238727,10.256108237034455,6.3133027703850578e+18,5.9486323990381551e-18,0.25437392954954935,0.25767568077816666
61,161,10.258431,2480477579867042.5,10.256108237034455,10.260845715801938,6.5743663984144067e+18,5.8427039937787225e-18,0.16321807458177412,0.25898573680958586
62,162,10.263261,2481645468670969.5,10.260845715801938,10.265768193761049,6.8375303693160335e+18,5.7345566940172512e-18,0.17792726717976917,0.16629618418642783
63,163,10.268276,2482858090275875.5,10.265768193761049,10.270874671167203,7.100046247489665e+18,5.6243848665228847e-18,0.1073226003138365,0.18141255004207033
64,164,10.273474,2484114961083911,10.270874671167203,10.276165647394556,7.3640243955128248e+18,5.5124261620139844e-18,0.12884186458291849,0.10950234820387857
65,165,10.278858,2485416806491849.5,10.276165647394556,10.281641123218122,7.6288010262025902e+18,5.3988103714453137e-18,0.071431044324845774,0.13155328974805383
66,166,10.284425000000001,2486762901102918.5,10.281641123218122,10.287300597981233,7.8937048969713029e+18,5.2837947096463907e-18,0.096260834275464266,0.072985928510828982
67,167,10.290177,2488153728514965.5,10.287300597981233,10.293144572092681,8.1601600476683612e+18,5.1675300632936643e-18,0.047746183211535349,0.098426614003414487
68,168,10.296113,2489589046929067,10.293144572092681,10.299172545419802,8.4267987500073175e+18,5.050227961087307e-18,0.073982834681428633,0.048855188132936281
69,169,10.302232999999999,2491068856345223,10.299172545419802,10.305385017812483,8.6950468096656681e+18,4.9320769770827315e-18,0.031722359452763971,0.075755139687550113
70,170,10.308538,2492593398562357.5,10.305385017812483,10.311781989575129,8.9642359231495772e+18,4.8132445122979291e-18,0.058353968705040234,0.032505541390213638
71,171,10.315027000000001,2494162431781546.5,10.311781989575129,10.318362960562107,9.2336923844270715e+18,4.6939331097620857e-18,0.020644990174459768,0.059837222447035716
72,172,10.3217,2495775956002789.5,10.318362960562107,10.325128430610439,9.5048473136405033e+18,4.5743223148954012e-18,0.047170780624956603,0.021184821763663913
73,173,10.328557999999999,2497434213025011.5,10.325128430610439,10.332078400050978,9.7770302677490708e+18,4.454570560893147e-18,0.012820278962754443,0.04843886778179407
74,174,10.335599999999999,2499136961049287.5,10.332078400050978,10.339212368725192,1.0049564909014391e+19,4.3348673933395657e-18,0.039031178897680575,0.013174298558168207
75,175,10.342826000000001,2500884200075618.5,10.339212368725192,10.34653083645731,1.0323888155496452e+19,4.21537955315034e-18,0.0071936386181452802,0.040137544577856808
76,176,10.350237,2502676171902927.5,10.34653083645731,10.354033803604468,1.0599327217097226e+19,4.0962529453174649e-18,0.032995581150368519,0.0074028429270576509
77,177,10.357832,2504512634732291,10.354033803604468,10.3617207699953,1.0875202913959158e+19,3.9776607750577995e-18,0.0030740313248244196,0.033979329589184031
78,178,10.365610999999999,2506393588563708.5,10.3617207699953,10.369592235441324,1.1152958448220445e+19,3.8597538810590057e-18,0.028470142092410385,0.0031679361427828026
79,179,10.373575000000001,2508319275196105.5,10.369592235441324,10.37473743487034,7.2993112947959941e+18,3.7426627653149281e-18,0,0.029360845025596608
