angle_index,time,R_normal,dlog_Doppler,R_hydrogen_analytic,R_hydrogen_direct,residual
10,1.4928571428571427,-0.7743058482487807,0.06051758403347918,-0.7137882642153015,-0.7137882642088699,6.431633003955994e-12
10,1.8285714285714283,-0.7786375212414358,-0.003863840411479802,-0.7825013616529156,-0.7825013616439649,8.950729046830475e-12
10,2.164285714285714,-0.7835696919133991,-0.06742279430272713,-0.8509924862161262,-0.8509924862213727,-5.24646992516864e-12
10,2.4999999999999996,-0.7889637173161657,-0.12391976298144336,-0.912883480297609,-0.9128834803075654,-9.956369062535941e-12
10,2.8357142857142854,-0.7946679717993087,-0.16732263332262587,-0.9619906051219346,-0.9619906051453833,-2.3448687436200544e-11
10,3.1714285714285713,-0.8005221091961673,-0.19263781002197278,-0.9931599192181401,-0.9931599192473475,-2.920741426493123e-11
10,3.5071428571428567,-0.8063615701425921,-0.19639522760430528,-1.0027567977468974,-1.0027567977392384,7.658984557679105e-12
10,3.8428571428571425,-0.8120222078283571,-0.17706837760072036,-0.9890905854290775,-0.9890905854477899,-1.8712476013149626e-11
10,4.178571428571429,-0.8173449021517116,-0.13580623978848794,-0.9531511419401996,-0.9531511419506402,-1.0440648345877435e-11
10,4.514285714285714,-0.8221800325735336,-0.0773473543186256,-0.8995273868921592,-0.8995273868939168,-1.7575940702840853e-12
10,4.85,-0.8263916839394876,-0.01026360645429214,-0.8366552903937797,-0.8366552904019255,-8.145817353977236e-12
11,0.15,-0.7650983913660728,0.11455966518248728,-0.6505387261835855,-0.6505387261763566,7.228995180241782e-12
11,0.48571428571428565,-0.7660270798729547,0.11155667827077909,-0.6544704016021756,-0.6544704016039441,-1.7684742559254119e-12
11,0.8214285714285714,-0.7679107446223495,0.09753315038844113,-0.6703775942339084,-0.670377594221468,1.2440382057832267e-11
11,1.157142857142857,-0.77069643593911,0.0731645852439784,-0.6975318506951316,-0.6975318506935445,1.5870638137016613e-12
11,1.4928571428571427,-0.7743058482487807,0.04059267188512805,-0.7337131763636526,-0.7337131763647067,-1.0540457395791236e-12
