x_Doppler,nu_Hz,Voigt_H,phi_Hz^-1,sigma_Voigt_m2,sigma_Voigt_cm2,Lee_first_order_factor,sigma_Lee1_m2,rate_at_250cm^-3_s^-1
-27.775,2464460092067222.5,6.312335719763278e-07,6.153620941225242e-18,6.797226759388764e-24,6.797226759388765e-20,1.0011682074851846,6.80516733056758e-24,5.094393294451331e-07
-27.75,2464461538920260.5,6.323736686697595e-07,6.1647352469263115e-18,6.809503507801592e-24,6.809503507801593e-20,1.0011671559932986,6.817451260632111e-24,5.103594485908654e-07
-27.725,2464462985773298.5,6.335168589461859e-07,6.175879710619517e-18,6.821813568424113e-24,6.821813568424112e-20,1.0011661045014129,6.829768515934052e-24,5.11282064423904e-07
-27.7,2464464432626336.0,6.346631540154502e-07,6.1870544415847335e-18,6.834157061965757e-24,6.834157061965757e-20,1.001165053009527,6.842119217218381e-24,5.122071859911931e-07
-27.675,2464465879479374.0,6.358125651382488e-07,6.198259549597581e-18,6.846534109683553e-24,6.846534109683553e-20,1.001164001517641,6.854503485777806e-24,5.131348223807185e-07
-27.65,2464467326332412.0,6.369651036264108e-07,6.2094951449321526e-18,6.858944833385135e-24,6.858944833385134e-20,1.0011629500257553,6.866921443455774e-24,5.140649827217325e-07
-27.625,2464468773185449.5,6.381207808431746e-07,6.220761338363704e-18,6.871389355431717e-24,6.871389355431718e-20,1.0011618985338695,6.87937321264944e-24,5.149976761849776e-07
-27.6,2464470220038487.5,6.392796082034716e-07,6.232058241171427e-18,6.883867798741157e-24,6.883867798741157e-20,1.0011608470419835,6.891858916312731e-24,5.159329119829152e-07
-27.575,2464471666891525.0,6.40441597174207e-07,6.243385965141182e-18,6.896380286790975e-24,6.896380286790975e-20,1.0011597955500977,6.904378677959378e-24,5.168706993699529e-07
-27.55,2464473113744563.0,6.416067592745435e-07,6.254744622568264e-18,6.908926943621404e-24,6.908926943621404e-20,1.001158744058212,6.916932621665945e-24,5.17811047642672e-07
-27.525,2464474560597601.0,6.427751060761894e-07,6.2661343262602144e-18,6.9215078938385e-24,6.9215078938385e-20,1.001157692566326,6.929520872074963e-24,5.187539661400618e-07
-27.5,2464476007450638.5,6.439466492036855e-07,6.2775551895396136e-18,6.934123262617226e-24,6.934123262617226e-20,1.0011566410744401,6.942143554398001e-24,5.196994642437494e-07
-27.475,2464477454303676.5,6.451214003346962e-07,6.289007326246922e-18,6.946773175704592e-24,6.946773175704592e-20,1.0011555895825544,6.954800794418805e-24,5.206475513782364e-07
-27.45,2464478901156714.5,6.462993712002989e-07,6.3004908507433e-18,6.959457759422766e-24,6.959457759422766e-20,1.0011545380906683,6.967492718496418e-24,5.215982370111309e-07
-27.425,2464480348009752.0,6.474805735852807e-07,6.312005877913499e-18,6.972177140672269e-24,6.972177140672268e-20,1.0011534865987826,6.980219453568372e-24,5.225515306533878e-07
-27.4,2464481794862790.0,6.486650193284317e-07,6.323552523168724e-18,6.984931446935137e-24,6.984931446935138e-20,1.0011524351068968,6.992981127153852e-24,5.235074418595454e-07
-27.375,2464483241715827.5,6.49852720322843e-07,6.335130902449536e-18,6.997720806278129e-24,6.997720806278129e-20,1.001151383615011,7.005777867356899e-24,5.244659802279655e-07
-27.35,2464484688568865.5,6.510436885162069e-07,6.346741132228778e-18,7.010545347355955e-24,7.010545347355955e-20,1.001150332123125,7.018609802869643e-24,5.254271554010764e-07
-27.325,2464486135421903.5,6.522379359111173e-07,6.358383329514508e-18,7.02340519941452e-24,7.023405199414519e-20,1.0011492806312392,7.031477062975552e-24,5.263909770656147e-07
-27.3,2464487582274941.0,6.534354745653723e-07,6.370057611852942e-18,7.036300492294172e-24,7.036300492294173e-20,1.0011482291393534,7.044379777552671e-24,5.2735745495287e-07
-27.275,2464489029127979.0,6.546363165922818e-07,6.3817640973314604e-18,7.049231356433025e-24,7.049231356433025e-20,1.0011471776474674,7.057318077076951e-24,5.283265988389327e-07
-27.25,2464490475981017.0,6.558404741609715e-07,6.393502904581563e-18,7.06219792287022e-24,7.062197922870219e-20,1.0011461261555816,7.070292092625515e-24,5.292984185449394e-07
