i,j,mu,group,branch,log_low,log_high,relative_low_high,amp_reciprocity
2,15,0.7071067811865475,1,GL8_12,1.6878215793071263,1.8541287311788395,-0.15321389769481653,4.646683675200081e-12
2,16,-0.816496580927726,1,GL8_12,117.89054192954661,117.89054218780053,-2.582538862352443e-07,4.4014682549749975e-15
2,16,-0.7071067811865475,1,GL8_12,116.22236433952848,116.2223649218172,-5.822885508221092e-07,5.239807639065018e-15
2,16,-0.5,1,GL8_12,112.40834968479108,112.40835254044543,-2.85565028093656e-06,1.613388845630493e-14
2,16,-0.5773502691896258,1,GL8_12,113.94827390356105,113.94827546706829,-1.5635060178441902e-06,7.924832872068242e-15
2,15,0.816496580927726,1,GL8_12,-81.91143279823662,-81.33900981487274,-0.4358431613131806,6.0119332556172915e-12
2,16,-0.3333333333333333,1,GL8_12,108.492612450243,108.49262332090223,-1.0870600138936055e-05,6.866106182804e-12
2,16,0.0,1,GL8_12,96.8135300265368,96.81371947392479,-0.00018942944397251402,6.74846210603296e-12
2,16,0.5,1,GL8_12,50.650012501808895,50.673139971475045,-0.022862079610075407,5.7001048173687785e-12
2,16,0.3333333333333333,1,GL8_12,73.65857467163889,73.6629361917011,-0.004352022446622749,5.677256519067794e-12
2,16,0.5773502691896258,1,GL8_12,33.853032858057325,33.90411194810277,-0.049796484078783836,4.207631969363512e-12
2,16,0.7071067811865475,1,GL8_12,-14.152561852240623,-13.955216463404888,-0.17909294778840656,4.4605686034844025e-12
2,17,-1.0,1,back_32_48,117.85305771915168,117.85305771915147,2.1316282072805277e-13,6.106386621771934e-16
2,17,-0.816496580927726,1,GL8_12,115.21108835261816,115.21108890154285,-5.489245381554932e-07,4.4561143165240546e-15
2,17,-0.7071067811865475,1,GL8_12,113.36989928920761,113.3699004787054,-1.1894970870326295e-06,6.614965535706753e-15
2,17,-0.5773502691896258,1,GL8_12,110.85963277905242,110.85963583141498,-3.0523578998107224e-06,1.8739861534026566e-14
2,17,-0.5,1,GL8_12,109.15957830841421,109.15958373762865,-5.429199701642445e-06,2.6543763616279663e-13
2,16,0.816496580927726,1,GL8_12,-107.2160633905785,-106.57511409282303,-0.47320789595767193,4.977970875903361e-12
2,17,-0.3333333333333333,1,GL8_12,104.83597386635043,104.83599339439036,-1.9527849257287705e-05,7.275978195061155e-12
2,17,0.0,1,GL8_12,91.93516208885313,91.93546461583469,-0.00030248122488367977,6.092304875387158e-12
2,17,0.3333333333333333,1,GL8_12,66.33926657548915,66.34535423103034,-0.006069163310006263,4.961968927115834e-12
2,17,0.5773502691896258,1,GL8_12,22.300054366053807,22.36363834181717,-0.06160468647096524,4.857926735856381e-12
2,17,0.5,1,GL8_12,40.88756916806633,40.917462052137004,-0.02945051070874931,4.939474436557773e-12
2,18,-1.0,1,back_32_48,115.3041324557467,115.30413245574557,1.1226575225015886e-12,7.581439068695838e-16
2,17,0.7071067811865475,1,GL8_12,-30.83862022054096,-30.60827637522776,-0.20573954718875498,5.220958357542653e-12
2,18,-0.816496580927726,1,GL8_12,112.40185401603998,112.40185509482794,-1.0787873784042904e-06,5.561004301311686e-15
2,18,-0.7071067811865475,1,GL8_12,110.37898889537445,110.37899115809529,-2.262718280966738e-06,7.0938402301856214e-15
2,18,-0.5773502691896258,1,GL8_12,107.6206967624339,107.62070235120197,-5.58875245874628e-06,2.5803575348041756e-14
2,18,-0.5,1,GL8_12,105.7524642582935,105.75247397542357,-9.717082858319913e-06,1.0098655634686616e-11
2,17,0.816496580927726,1,GL8_12,-133.87539459145347,-133.16487211852115,-0.5086126062322119,5.162545657938915e-12
2,18,-0.3333333333333333,1,GL8_12,101.00044692583556,101.00048018525389,-3.325886524222255e-05,8.159988357379256e-12
2,18,0.0,1,GL8_12,86.81600475544704,86.81646823365605,-0.0004633708195800144,6.512246272682744e-12
2,18,0.3333333333333333,1,GL8_12,58.65438357684526,58.66262813896081,-0.008210668922117302,5.27591863866751e-12
2,18,0.5,1,GL8_12,30.63411407095811,30.671850037568966,-0.03703283718818416,5.2428887297525005e-12
2,19,-1.0,1,back_32_48,112.63809383844021,112.6380938384402,1.4210854715202105e-14,7.049897656333818e-16
2,18,0.5773502691896258,1,GL8_12,10.164204713052918,10.241769465603603,-0.07463289742359983,5.603346853775364e-12
2,19,-0.816496580927726,1,GL8_12,109.46311843510375,109.46312042704938,-1.9919436396360556e-06,4.703560460019488e-15
