lane,event_id,beta_norm,response_relative,thermal_log_residual,conductance_log_residual,rest_frequency_in_relative,rest_frequency_out_relative,response_forward_m2,response_reverse_m2
physical,13,3.0974668801634827e-05,2.29562419524684309555905208850074078992e-87,7.85454954447636248495323512797804102876e-90,4.602766033063148416182595784995132042854e-87,2.241061150080389939271739498005793164269e-91,2.241061186662954441825209541607994222071e-91,2.837243135070049097063060153388889906555e-22,2.837243135070049097063060153388889906555e-22
physical,14,4.943552148150638e-05,2.939862806171575487977671501414545071022e-87,0.0,5.875203059268319138745019875727574689513e-87,2.241109119996478795587480720098769791127e-91,2.241109142798096707480926300370947171011e-91,3.73103009813719249478646861738354662616e-22,3.73103009813719249478646861738354662616e-22
physical,15,1.901809745202117e-05,4.979969966795934096541668480433533031127e-87,7.85454954447636248495323512797804102876e-90,-9.959568822396027630920702142276156024468e-87,2.241380870724332310470644216768118842372e-91,2.241380908238566662217254244023317651877e-91,1.378798688382759604673674767969617964691e-21,1.378798688382759604673674767969617964691e-21
physical,16,3.3118204286600044e-05,6.651289081695748238882391007958225023853e-87,0.0,1.328989782925400532454087383653884542066e-86,4.482862105886756336561564814981117189958e-91,0.0,4.853559191339724152714087992500320216526e-22,4.853559191339724152714087992500320216526e-22
physical,17,4.343762576778703e-05,1.674566502202176971667270545013133564581e-87,1.570909908895272496990647025595608205752e-89,-3.346038105946930418590078164518645478252e-87,2.241579977743647366707876833437708387926e-91,2.241580005849157388457328479103635083168e-91,1.235356458308978114753328892869645305143e-22,1.235356458308978114753328892869645305143e-22
physical,18,4.817573779327609e-05,6.384365948521097259704352166947969285412e-87,1.570909908895272496990647025595608205752e-89,-1.274007936114065995059414737758038254865e-86,4.482874727706555675708245716052916131322e-91,0.0,7.821755529738125413670527647968158823301e-22,7.821755529738125413670527647968158823301e-22
physical,19,2.5677169480892826e-05,2.838478019530674090880108425326173194143e-87,-1.570909908895272496990647025595608205752e-89,-5.70240296928983916407604870291205778688e-87,4.481852076312138854960836905540834095582e-91,4.481852139271304802553939117132471664009e-91,9.401170868613127171113639702146327380385e-23,9.401170868613127171113639702146327380385e-23
physical,20,2.5827860205857152e-05,1.503026522387429155038302382905148335806e-87,0.0,-2.984728826901017744282229348631655590929e-87,2.241614134044497088452899505683096644936e-91,4.483228312440172662777940879096375875876e-91,9.803448848185494581945883615030248602666e-23,9.803448848185494581945883615030248602666e-23
physical,21,2.6415654069065396e-05,2.499865471934961767008458904170057167725e-87,-1.570909908895272496990647025595608205752e-89,-4.995493510286966540430257541394034094292e-87,4.481756314107108216628418171537886280723e-91,0.0,1.080920896061571018690490906814462928629e-22,1.080920896061571018690490906814462928629e-22
physical,22,3.049563684433531e-05,5.336363065071218747374265094798561175741e-85,0.0,-1.067260483004359181730475682719400258906e-84,4.482556241866739737546942946297185396173e-91,2.241278150138390410607518711082442558062e-91,3.1857234905802682738579867582460254539e-18,3.1857234905802682738579867582460254539e-18
physical,23,2.6278969477517073e-05,1.866527425457551061657617058654465191756e-91,1.570909908895272496990647025595608205752e-89,0.0,0.0,4.48203721711164200082402018144434220162e-91,2.784692478626886829310578772455564897278e-22,2.784692478626886829310578772455564897278e-22
physical,24,2.8312336796560414e-05,1.332461463408982363047369482780186904486e-87,-7.85454954447636248495323512797804102876e-90,2.670546845121963244884099943512533949779e-87,2.241657029464529670418413110315685499586e-91,0.0,1.156498403482756707681243348467608814537e-22,1.156498403482756707681243348467608814537e-22
