event_id,beta_norm,nu_in_rest_over_nu_alpha,nu_out_rest_over_nu_alpha,mu_rest,response_forward_m2,response_reverse_m2,response_relative,thermal_log_residual,conductance_log_residual,maxwell_boltzmann_log_residual,rest_frequency_in_relative,rest_frequency_out_relative
57,1.5710834854617726e-05,1.0001384845559362,1.000138465008023,-0.7988493284329364,1.8453310992374685e-22,1.8453310992266598e-22,2.9286534433601017e-12,1.4210854715202004e-14,5.8832938520936295e-12,-1.2079226507921703e-13,4.0544774871451094e-16,4.0544775663907105e-16
58,4.708254371627633e-06,0.9998961697743531,0.9998961627631278,0.3544962464140406,2.2562561460599433e-22,2.2562561460687534e-22,1.9523703183946064e-12,7.105427357601002e-15,-3.893774191965349e-12,1.4210854715202004e-14,2.02773002449573e-16,4.055460077428156e-16
59,2.407104690419653e-05,1.0001998440597497,1.0001998291099496,-0.37555028149276604,6.171796388465685e-23,6.171796388453156e-23,1.015068668568176e-12,1.4210854715202004e-14,2.0463630789890885e-12,-2.1316282072803006e-13,2.0271143780628465e-16,4.054228816723491e-16
60,2.5164788432232633e-05,0.9999456358481297,0.9999456157355173,-0.8515283282454535,1.2612276078112412e-21,1.2612276078300536e-21,7.457981174377756e-12,2.1316282072803006e-14,-1.4907186596246902e-11,-4.973799150320701e-13,4.055259430399019e-16,4.0552595119653145e-16
61,4.895276181843267e-05,0.9998345955395753,0.9998345740422157,-0.9794450841585575,1.5476113169559095e-22,1.5476113169559098e-22,7.595539900382987e-17,0.0,-2.1316282072803006e-14,2.2453150450019166e-12,0.0,2.0278549446762061e-16
62,2.7330900689987973e-05,0.999918947327631,0.9999189448308301,0.7701370558225041,5.239952107617502e-22,5.239952107617499e-22,2.6919963999978487e-16,7.105427357601002e-15,1.4210854715202004e-14,-1.7053025658242404e-13,0.0,6.083051517259004e-16
63,3.5235902596978025e-05,0.9998873906329687,0.9998873782150035,-0.14330712643135568,1.7390390765750856e-22,1.7390390765938698e-22,5.400731035947341e-12,1.4210854715202004e-14,-1.0771827874123119e-11,-6.252776074688882e-13,6.083243484687514e-16,4.0554957068250173e-16
64,1.9695361948615072e-05,0.9999274238917158,0.9999274039145919,-0.8391225131033596,6.990797781648326e-22,6.990797781687382e-22,2.7934226051495765e-12,7.105427357601002e-15,-5.5706550483591855e-12,2.842170943040401e-14,2.027666644983726e-16,2.027666685493614e-16
65,2.686003569783773e-05,1.0001639338987658,1.0001639329017364,0.9082554716641715,1.4669582768555893e-22,1.4669582768592188e-22,1.2370687070167085e-12,0.0,-2.4726887204451486e-12,2.1316282072803006e-14,2.027187160135046e-16,0.0
66,3.104040754758772e-05,0.9998634081856372,0.9998633920942436,-0.48158633152744446,1.4268395157282955e-22,1.426839515728296e-22,1.647689649557098e-16,0.0,0.0,-4.050093593832571e-13,0.0,4.055592995725217e-16
67,1.3415984638859182e-05,0.9999386866340385,0.9999386853687477,0.8835181550283313,1.0234448631964994e-21,1.0234448632168042e-21,9.919846133991405e-12,1.4210854715202004e-14,-1.9838353182421997e-11,-7.105427357601002e-15,6.082931419489448e-16,4.0552876181243956e-16
68,1.3187962876782705e-05,1.0000013008083535,1.0000012921329042,0.20144377663962873,1.3283850458280406e-18,1.3283850454140388e-18,1.5582897220580238e-10,7.105427357601002e-15,3.1168667646852555e-10,7.105427357601002e-15,2.0275168474188827e-16,2.0275168650084794e-16
69,2.4368578217011107e-05,0.9998328414904432,0.9998328223942319,-0.758357070950428,1.2181646687064475e-22,1.2181646687094022e-22,1.2127763495886391e-12,7.105427357601002e-15,-2.4158453015843406e-12,1.4921397450962104e-13,2.0278584586272715e-16,2.0278584973581603e-16
70,1.505507831206271e-05,0.9999397960725057,0.9999397950865773,0.9092362698619866,1.0889976898345093e-21,1.0889976898491782e-21,6.735024822100219e-12,7.105427357601002e-15,-1.34718902700115e-11,-1.4210854715202004e-14,4.055283113630013e-16,0.0
71,3.0062821041884038e-05,0.9997881048079289,0.9997880865757941,-0.6789441503663467,7.031863528314301e-23,7.031863528341205e-23,1.9129736448161433e-12,0.0,-3.822719918389339e-12,2.0605739337042905e-13,4.055898395028906e-16,0.0
72,2.3503162102492462e-05,1.0001174373304134,1.0001174343520853,0.7259150480370209,2.3918997757313903e-22,2.391899775714869e-22,3.4536016453578797e-12,1.4210854715202004e-14,6.906475391588174e-12,2.842170943040401e-14,4.054562812626761e-16,4.0545628247011604e-16
73,3.5071147780988046e-05,0.999802893056117,0.9998028897285205,0.6935804077255362,8.238219198221524e-23,8.238219198221524e-23,0.0,7.105427357601002e-15,0.0,1.3500311979441904e-13,0.0,0.0
74,3.5388003180359636e-05,0.9999490086595156,0.9999489945864644,-0.295529216674931,9.035961007047937e-22,9.03596100719164e-22,7.951662987815834e-12,1.4210854715202004e-14,-1.588773557159584e-11,1.4210854715202004e-14,4.0552457520763637e-16,6.08286871372343e-16
75,3.142511490863091e-05,1.0001496944937887,1.0001496873730984,0.34475045211877614,1.0786413661434095e-22,1.0786413661434093e-22,1.0897916468985126e-16,1.4210854715202004e-14,0.0,1.8474111129762605e-13,0.0,2.0272160361865752e-16
76,2.5414004253684117e-05,1.0001299226709344,1.0001299203627483,0.7875911253954153,2.0737185867663238e-22,2.073718586766323e-22,1.700560083210675e-16,7.105427357601002e-15,1.4210854715202004e-14,-1.9184653865522705e-13,0.0,2.0272561029814517e-16
77,2.6286423984968918e-05,1.000044243954448,1.0000442411652166,0.7432793600336592,1.7134647648922097e-21,1.7134647648607994e-21,9.165737799928488e-12,7.105427357601002e-15,1.8332002582610585e-11,-9.237055564881302e-14,4.054859566637511e-16,0.0
78,1.9730980469912283e-05,1.0000187719819513,1.000018766490444,0.49453637048811766,7.630796238376635e-21,7.63079623837663e-21,2.9576849952147756e-16,7.105427357601002e-15,-1.4210854715202004e-14,-7.815970093361102e-14,0.0,4.0549628722374763e-16
