far_index,side,far_left,far_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
4,blue,12.75,16.25,14,2.75,3.25,1.3837350348773441e-18,-1.2890684113186293e-18,1.1181058766010923e-18,1.7423090692648345e-48,-1.4570929004194912e-44
4,blue,12.75,16.25,15,3.25,3.75,1.5709502616825275e-17,-1.4539653291123083e-17,1.2446073500990243e-17,1.880070521064741e-47,-1.6490582118745206e-43
4,blue,12.75,16.25,16,3.75,4.25,1.587972378359244e-16,-1.458861820285583e-16,1.23016854225774e-16,1.801589880963634e-46,-1.6610169111136235e-42
5,blue,16.25,21.25,0,-4.25,-3.75,3.638859064917872e-53,-3.5709903047614323e-53,3.4389841412298166e-53,9.398765138005807e-83,-3.9303318097208567e-79
5,blue,16.25,21.25,1,-3.75,-3.25,5.165709997037425e-51,-5.064705561402926e-51,4.8685136539306066e-51,1.3014957968160295e-80,-5.5769766628636335e-77
5,blue,16.25,21.25,2,-3.25,-2.75,6.505049693695222e-49,-6.371565216548368e-49,6.112657219079291e-49,1.5977161052358966e-78,-7.019558315881468e-75
5,blue,16.25,21.25,3,-2.75,-2.25,7.265720833283161e-47,-7.109077305574112e-47,6.805719740951252e-47,1.738517988376014e-76,-7.836323546472688e-73
5,blue,16.25,21.25,4,-2.25,-1.75,7.19745002813304e-45,-7.034230908126747e-45,6.71866498165382e-45,1.6766058324149788e-74,-7.75834927854612e-71
5,blue,16.25,21.25,5,-1.75,-1.25,6.323047153293787e-43,-6.172037428759165e-43,5.8806005224111004e-43,1.4328965115188556e-72,-6.811689656074552e-69
5,blue,16.25,21.25,6,-1.25,-0.75,4.926161582415114e-41,-4.802103614941777e-41,4.563144884913279e-41,1.0851755375391325e-70,-5.303390140605132e-67
5,blue,16.25,21.25,7,-0.75,-0.25,3.4034710862334864e-39,-3.3129702877252367e-39,3.139013760092867e-39,7.282228640632516e-69,-3.66150748268679e-65
5,blue,16.25,21.25,8,-0.25,0.25,2.0853211014835162e-37,-2.0266908814653895e-37,1.9142500770222723e-37,4.3300561643314916e-67,-2.2417005086557082e-63
5,blue,16.25,21.25,9,0.25,0.75,1.1331223259948118e-35,-1.099387662544386e-35,1.0348507092670944e-35,2.2812917156934348e-65,-1.2170800662651495e-61
5,blue,16.25,21.25,10,0.75,1.25,5.460824653904648e-34,-5.288410727365949e-34,4.9594530835859645e-34,1.0649430142035437e-63,-5.860110843634733e-60
5,blue,16.25,21.25,11,1.25,1.75,2.3342686947221594e-32,-2.2559841849702762e-32,2.107057024381883e-32,4.4049100067893e-62,-2.5024614009211804e-58
5,blue,16.25,21.25,12,1.75,2.25,8.851101609908568e-31,-8.535263452129132e-31,7.93633448801255e-31,1.6144558762409462e-60,-9.478553960513165e-57
5,blue,16.25,21.25,13,2.25,2.75,2.977485407150788e-29,-2.864238060655272e-29,2.650235467852319e-29,5.243405525632307e-59,-3.184760682262749e-55
5,blue,16.25,21.25,14,2.75,3.25,8.887290094326085e-28,-8.5263229027234e-28,7.846822356812801e-28,1.5091232993255078e-57,-9.493518722591674e-54
5,blue,16.25,21.25,15,3.25,3.75,2.3541171843439825e-26,-2.2518118944611523e-26,2.0600410809596493e-26,3.8493914663943095e-56,-2.511065740033456e-52
5,blue,16.25,21.25,16,3.75,4.25,5.534877744915491e-25,-5.276980241476104e-25,4.7958059608370215e-25,8.702695277920333e-55,-5.894455334324602e-51
