x_source,x_target,mu,q_dimensionless,delta_dimensionless,log_conductance_forward,log_conductance_reverse,conductance_log_residual,log_S_MJ_minus_log_S_MB
3.5,-3.5,0.25,1.3305493408397729e-08,1.7846901890620282e-12,26.98786585286594,26.98786585286594,0.0,-4.41304369047657e-07
3.5,-3.5,0.75,7.681930339247496e-09,1.7846901890620282e-12,-37.79616056599086,-37.79616056599086,0.0,-3.967608421362456e-06
3.5,-1.0,-0.75,2.0325073013829052e-08,1.1473008358264168e-12,53.4443807382631,53.44438073826309,7.105427357601002e-15,-1.4341903664671918e-08
3.5,-1.0,-0.25,1.717782194625221e-08,1.1473008358264168e-12,51.298466967413695,51.29846696741369,7.105427357601002e-15,-2.761445827559328e-08
3.5,-1.0,0.25,1.3305883684175437e-08,1.1473008358264168e-12,46.15419663888924,46.15419663888923,7.105427357601002e-15,-7.578889871240335e-08
3.5,-1.0,0.75,7.682155583979547e-09,1.1473008358264168e-12,19.70508698731464,19.705086987314633,7.105427357601002e-15,-6.779694139424919e-07
3.5,-0.5,-0.75,2.0325192257608617e-08,1.0198229651799562e-12,54.65842326117886,54.658423261178854,7.105427357601002e-15,-9.147367308059984e-09
3.5,-0.5,-0.25,1.7177922723342326e-08,1.0198229651799562e-12,52.9982167356604,52.99821673566039,7.105427357601002e-15,-1.743316246916038e-08
3.5,-0.5,0.25,1.3305961741621232e-08,1.0198229651799562e-12,48.98726331075253,48.987263310752525,7.105427357601002e-15,-4.750752680138248e-08
3.5,-0.5,0.75,7.682200638479526e-09,1.0198229651799562e-12,28.20473813200819,28.204738132008174,1.4210854715202004e-14,-4.2343702943981043e-07
3.5,0.0,-0.75,2.0325311501488134e-08,8.923450945318413e-13,55.729591878147055,55.72959187814705,7.105427357601002e-15,-5.575572004090645e-09
3.5,0.0,-0.25,1.717802350078723e-08,8.923450945318413e-13,54.497943035910964,54.497943035910964,0.0,-1.0432433583673628e-08
3.5,0.0,0.25,1.3306039799830411e-08,8.923450945318413e-13,51.486957537179485,51.48695753717948,7.105427357601002e-15,-2.8061059254014253e-08
3.5,0.0,0.75,7.682245694830614e-09,8.923450945318413e-13,35.70427195820022,35.704271958200216,7.105427357601002e-15,-2.4841887125148787e-07
3.5,0.5,-0.75,2.03254307454676e-08,7.648672238837264e-13,56.657891618451764,56.65789161845176,7.105427357601002e-15,-3.2471199062911182e-09
3.5,0.5,-0.25,1.717812427858692e-08,7.648672238837264e-13,55.79765290909228,55.79765290909227,7.105427357601002e-15,-5.868670882591687e-09
3.5,0.5,0.25,1.3306117858802962e-08,7.648672238837264e-13,53.653291052772815,53.65329105277281,7.105427357601002e-15,-1.5383943008373535e-08
3.5,0.5,0.75,7.682290753032781e-09,7.648672238837264e-13,42.20372366556775,42.203723665567736,1.4210854715202004e-14,-1.343248108298667e-07
3.5,1.0,-0.75,2.032554998954701e-08,6.373893532372658e-13,57.44332751116524,57.443327511165236,7.105427357601002e-15,-1.8332357853978465e-09
3.5,1.0,-0.25,1.7178225056741383e-08,6.373893532372658e-13,56.89735339584412,56.897353395844114,7.105427357601002e-15,-3.0974547371442895e-09
3.5,1.0,0.25,1.3306195918538873e-08,6.373893532372658e-13,55.48627559169351,55.486275591693506,7.105427357601002e-15,-7.686114855687265e-09
3.5,1.0,0.75,7.682335813085994e-09,6.373893532372658e-13,47.703128453013676,47.70312845301366,1.4210854715202004e-14,-6.504437166654498e-08
