physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,mu_label,edge_multiplicity,Q_SI,DeltaE_SI,pole_mean_amp2,full_mean_amp2,full_over_pole,integrated_amp_reciprocity,pointwise_amp_reciprocity,forward_reverse_log_edge_residual,quad_change_pole_96_128_to_128_192,quad_change_full_96_128_to_128_192,pole_location_t,pole_width_t,quadrature_points,log_edge_pole_no_angular,log_edge_full_no_angular
441,2,3,-3.0,-2.5,-0.7071067811865475,-1/sqrt(2),48,1.0070652469339056e-26,1.9173899450406803e-23,10717953.653370347,10719179.966492975,1.0001144167219125,4.2423707066021497e-20,1.5081468898436128e-16,0.0,5.039834195468066e-15,5.039257620130298e-15,-7.185532033905283,0.0022512056277003145,512,144.76811311928637,144.7682275294632
442,2,3,-3.0,-2.5,-0.5773502691896258,-1/sqrt(3),48,9.680356187566711e-27,1.9173899450406803e-23,10869728.151624788,10870960.071808,1.0001133349579703,4.183138820146848e-20,4.517558189042682e-16,0.0,5.312184336231859e-15,5.3115823482696626e-15,-5.981747204911563,0.0018740428889215972,512,144.8156770819261,144.81579041046214
443,2,3,-3.0,-2.5,-0.5,-1/2,48,9.440019574250983e-27,1.9173899450406803e-23,10963949.616965057,10965184.959182467,1.0001126731023553,0.0,3.023376415763409e-16,0.0,5.266532740793759e-15,5.2659394110634995e-15,-5.499664466489101,0.0017229981931407234,512,144.84536158842764,144.84547425518286
444,2,3,-3.0,-2.5,-0.3333333333333333,-1/3,24,8.90013580734102e-27,1.9173899450406803e-23,11177709.17546766,11178952.109916348,1.000111197601331,4.06834122938646e-20,2.9977216556563096e-16,0.0,4.999177702670082e-15,4.99862186790841e-15,-4.762916376185253,0.0014921602059388339,512,144.91314407270664,144.91325526412598
445,2,3,-3.0,-2.5,0.0,0,192,7.707743706355187e-27,1.9173899450406803e-23,11722174.263744092,11723433.420978202,1.0001074166964063,3.87937715866388e-20,3.019019635503815e-16,0.0,4.766978652566176e-15,4.9253488762801095e-15,-3.889015077964276,0.0012183437063559555,512,145.0732918523937,145.07339926332133
446,2,3,-3.0,-2.5,0.3333333333333333,1/3,24,6.293346383014538e-27,1.9173899450406803e-23,14599478.422918588,14600755.611869156,1.000087481820485,6.229638316018078e-20,2.2909172388869183e-16,0.0,2.041327883392804e-15,2.0411493199344143e-15,-3.3680821369596696,0.0010551166002633078,512,145.43301989415374,145.43310737214793
447,2,3,-3.0,-2.5,0.5,1/2,48,5.4501978425993174e-27,1.9173899450406803e-23,20405080.285100624,20406367.38463034,1.0000630774058095,3.521185922141399e-18,3.010310875540422e-16,0.0,3.833902889606514e-15,3.651105783058406e-15,-3.175504527079524,0.0009947734706686978,512,145.84915098075408,145.84921405617058
448,2,3,-3.0,-2.5,0.5773502691896258,1/sqrt(3),48,5.0109210897353835e-27,1.9173899450406803e-23,25251836.17946641,25253128.11318986,1.0000511619715202,6.338987247279765e-18,2.9037025018151386e-16,0.0,1.0474312018777911e-14,1.0473776159740315e-14,-3.0966868534128844,0.0009700759820415586,512,146.1005390385073,146.10059019917009
449,2,3,-3.0,-2.5,0.7071067811865475,1/sqrt(2),48,4.17140083515252e-27,1.9173899450406803e-23,37935976.31871452,37937276.71307425,1.0000342786580423,1.294576684225004e-18,2.9972949931056794e-16,0.0,1.76758928804041e-14,1.7478894917559995e-14,-2.9767080843788154,0.0009324799027749056,512,146.55986748993968,146.5599017680102
450,2,3,-3.0,-2.5,0.816496580927726,sqrt(2/3),48,3.301789222745659e-27,1.9173899450406803e-23,54425846.56724011,54427154.438776664,1.0000240303388748,5.481113864034614e-18,1.5291965905958917e-16,0.0,3.627695263766909e-14,3.641297178251459e-14,-2.885720332392317,0.0009039669070877443,512,146.9001517984421,146.90017582849225
452,2,4,-3.0,-2.0,-1.0,-1,26,1.0900459641879956e-26,3.8347798901144907e-23,12585114.04496867,12586449.804663181,1.0001061380683351,0.0,0.0,0.0,5.032130408001415e-15,4.883608235727316e-15,0.0,1.0,192,144.67251176799297,144.67261790042906
453,2,4,-3.0,-2.0,-0.816496580927726,-sqrt(2/3),48,1.0388362739457359e-26,3.8347798901144907e-23,12872594.828916322,12873940.60422361,1.000104545767592,7.065356393645568e-20,2.2731716164759825e-18,0.0,5.064447462965144e-15,4.919234678857816e-15,-8.252518110570694,0.0028441021836520483,192,144.71795836982358,144.71806291012663
454,2,4,-3.0,-2.0,-0.7071067811865475,-1/sqrt(2),48,1.007071155821717e-26,3.8347798901144907e-23,13055118.052967131,13056470.02575945,1.000103558833159,3.4829272382909106e-20,2.2029443888186043e-16,0.0,5.278992517871713e-15,5.278445888174641e-15,-6.532183532694966,0.0022511924192521317,512,144.74545269368545,144.74555624715674
455,2,4,-3.0,-2.0,-0.5773502691896258,-1/sqrt(3),48,9.68041298645574e-27,3.8347798901144907e-23,13284025.123887744,13285384.690143,1.000102345956333,0.0,2.879839118501152e-16,0.0,5.3282431349438404e-15,5.327697866610628e-15,-5.437860400581671,0.0018740318934012013,512,144.7782645522003,144.77836689291965
456,2,4,-3.0,-2.0,-0.5,-1/2,48,9.440074963011724e-27,3.8347798901144907e-23,13427671.17811696,13429035.406229882,1.000101598266358,6.772598881904827e-20,2.1965846652197852e-16,0.0,5.271242848583244e-15,5.270707353853612e-15,-4.99961459688988,0.001722988083846542,512,144.7978126465989,144.79791423970454
457,2,4,-3.0,-2.0,-0.3333333333333333,-1/3,24,8.900188028442049e-27,3.8347798901144907e-23,13760579.390806079,13761954.045047898,1.0000998979914129,9.914132348023732e-20,3.405365493698464e-16,0.0,4.872994331700624e-15,4.87250757798044e-15,-4.329861756777957,0.0014921514510461008,512,144.83952297390204,144.83962286690397
458,2,4,-3.0,-2.0,0.0,0,192,7.707788931354302e-27,3.8347798901144907e-23,15395530.68687746,15396928.115743361,1.0000907684765354,5.611638634597646e-19,1.7967679262878672e-16,0.0,5.9283186899241805e-15,6.048755749292621e-15,-3.535430574415311,0.0012183365580474294,512,144.97061869195457,144.97070945631188
