state_index,frequency_index,angle_index,x_center,nu_center_Hz,nx,ny,nz,normalized_angular_weight
143,5,13,-1.5,2465980748005508.0,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
144,5,14,-1.5,2465980748005508.0,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
145,5,15,-1.5,2465980748005508.0,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
146,5,16,-1.5,2465980748005508.0,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
147,5,17,-1.5,2465980748005508.0,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
148,5,18,-1.5,2465980748005508.0,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
149,5,19,-1.5,2465980748005508.0,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
150,5,20,-1.5,2465980748005508.0,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
151,5,21,-1.5,2465980748005508.0,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
152,5,22,-1.5,2465980748005508.0,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
153,5,23,-1.5,2465980748005508.0,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
154,5,24,-1.5,2465980748005508.0,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
155,5,25,-1.5,2465980748005508.0,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
156,6,0,-1.0,2466009685066264.5,-1.0,0.0,0.0,0.047619047619047616
157,6,1,-1.0,2466009685066264.5,1.0,0.0,0.0,0.047619047619047616
158,6,2,-1.0,2466009685066264.5,0.0,-1.0,0.0,0.047619047619047616
159,6,3,-1.0,2466009685066264.5,0.0,1.0,0.0,0.047619047619047616
160,6,4,-1.0,2466009685066264.5,0.0,0.0,-1.0,0.047619047619047616
161,6,5,-1.0,2466009685066264.5,0.0,0.0,1.0,0.047619047619047616
162,6,6,-1.0,2466009685066264.5,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
163,6,7,-1.0,2466009685066264.5,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
164,6,8,-1.0,2466009685066264.5,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
165,6,9,-1.0,2466009685066264.5,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
166,6,10,-1.0,2466009685066264.5,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
167,6,11,-1.0,2466009685066264.5,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
168,6,12,-1.0,2466009685066264.5,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
169,6,13,-1.0,2466009685066264.5,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
170,6,14,-1.0,2466009685066264.5,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
171,6,15,-1.0,2466009685066264.5,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
172,6,16,-1.0,2466009685066264.5,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
173,6,17,-1.0,2466009685066264.5,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
174,6,18,-1.0,2466009685066264.5,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
175,6,19,-1.0,2466009685066264.5,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
176,6,20,-1.0,2466009685066264.5,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
177,6,21,-1.0,2466009685066264.5,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
178,6,22,-1.0,2466009685066264.5,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
179,6,23,-1.0,2466009685066264.5,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
180,6,24,-1.0,2466009685066264.5,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
181,6,25,-1.0,2466009685066264.5,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
182,7,0,-0.5,2466038622127020.5,-1.0,0.0,0.0,0.047619047619047616
183,7,1,-0.5,2466038622127020.5,1.0,0.0,0.0,0.047619047619047616
184,7,2,-0.5,2466038622127020.5,0.0,-1.0,0.0,0.047619047619047616
185,7,3,-0.5,2466038622127020.5,0.0,1.0,0.0,0.047619047619047616
186,7,4,-0.5,2466038622127020.5,0.0,0.0,-1.0,0.047619047619047616
187,7,5,-0.5,2466038622127020.5,0.0,0.0,1.0,0.047619047619047616
188,7,6,-0.5,2466038622127020.5,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
189,7,7,-0.5,2466038622127020.5,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
190,7,8,-0.5,2466038622127020.5,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
191,7,9,-0.5,2466038622127020.5,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
192,7,10,-0.5,2466038622127020.5,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
193,7,11,-0.5,2466038622127020.5,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
194,7,12,-0.5,2466038622127020.5,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
195,7,13,-0.5,2466038622127020.5,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
196,7,14,-0.5,2466038622127020.5,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
197,7,15,-0.5,2466038622127020.5,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
198,7,16,-0.5,2466038622127020.5,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
199,7,17,-0.5,2466038622127020.5,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
200,7,18,-0.5,2466038622127020.5,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
201,7,19,-0.5,2466038622127020.5,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
202,7,20,-0.5,2466038622127020.5,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
203,7,21,-0.5,2466038622127020.5,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
204,7,22,-0.5,2466038622127020.5,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
205,7,23,-0.5,2466038622127020.5,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
206,7,24,-0.5,2466038622127020.5,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
207,7,25,-0.5,2466038622127020.5,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
208,8,0,0.0,2466067559187777.0,-1.0,0.0,0.0,0.047619047619047616
209,8,1,0.0,2466067559187777.0,1.0,0.0,0.0,0.047619047619047616
210,8,2,0.0,2466067559187777.0,0.0,-1.0,0.0,0.047619047619047616
211,8,3,0.0,2466067559187777.0,0.0,1.0,0.0,0.047619047619047616
212,8,4,0.0,2466067559187777.0,0.0,0.0,-1.0,0.047619047619047616
213,8,5,0.0,2466067559187777.0,0.0,0.0,1.0,0.047619047619047616
214,8,6,0.0,2466067559187777.0,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
215,8,7,0.0,2466067559187777.0,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
216,8,8,0.0,2466067559187777.0,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
217,8,9,0.0,2466067559187777.0,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
218,8,10,0.0,2466067559187777.0,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
219,8,11,0.0,2466067559187777.0,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
220,8,12,0.0,2466067559187777.0,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
221,8,13,0.0,2466067559187777.0,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
