physics_orbit_id,frequency_pair_id,frequency_i,frequency_j,x_i,x_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI_kg_m_per_s,DeltaE_SI_J,p_parallel_over_sigma_p,required_parallel_speed_over_c,log_dynamic_structure_factor,same_ray_frequency_change,log_dynamic_structure_factor_relative,recommended_active
57,4,0,4,-4.0,-2.0,6,0,0.0,192,7.707698483744247e-27,7.669559780228981e-23,1.9996779202145663,3.318367623906577e-05,48.697121076520475,False,-2.847140332580814,True
58,4,0,4,-4.0,-2.0,7,1/3,0.3333333333333333,24,6.293309460532277e-27,7.669559780228981e-23,2.4492842495214266,4.064467319059122e-05,47.89971285511909,False,-3.6445485539821973,True
59,4,0,4,-4.0,-2.0,8,1/2,0.5,48,5.45016586819896e-27,7.669559780228981e-23,2.8282989443870608,4.6934236523330315e-05,47.043413099135954,False,-4.500848309965335,True
60,4,0,4,-4.0,-2.0,9,1/sqrt(3),0.5773502691896258,48,5.01089169336491e-27,7.669559780228981e-23,3.0762936589064025,5.1049587416801384e-05,46.39529138140922,False,-5.148970027692066,True
61,4,0,4,-4.0,-2.0,10,1/sqrt(2),0.7071067811865475,48,4.171376366052359e-27,7.669559780228981e-23,3.695527790784421,6.132547471879963e-05,44.48198772990723,False,-7.062273679194057,True
62,4,0,4,-4.0,-2.0,11,sqrt(2/3),0.816496580927726,48,3.301769858187192e-27,7.669559780228981e-23,4.668958840018557,7.747908648412514e-05,40.64464963102998,False,-10.89961177807131,True
63,4,0,4,-4.0,-2.0,12,1,1.0,26,2.558289905867582e-31,7.669559780228981e-23,60260.88847299824,0.9999999463672918,-1815687278.7678678,True,-1815687330.3121293,False
64,5,0,5,-4.0,-1.5,0,-1,-1.0,26,1.0900395684635738e-26,9.586949725269662e-23,1.7672264125404225,2.9326257254755618e-05,48.78835291478119,False,-2.7559084943200958,True
65,5,0,5,-4.0,-1.5,1,-sqrt(2/3),-0.816496580927726,48,1.038830178726456e-26,9.586949725269662e-23,1.8544052980004615,3.077294818470204e-05,48.67860675175858,False,-2.8656546573427093,True
66,5,0,5,-4.0,-1.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070652470052866e-26,9.586949725269662e-23,1.9129358513681107,3.174423406699904e-05,48.59940931748308,False,-2.944852091618209,True
67,5,0,5,-4.0,-1.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680356188638281e-27,9.586949725269662e-23,1.9901101500251714,3.302490377621805e-05,48.48832869971534,False,-3.0559327093859494,True
68,5,0,5,-4.0,-1.5,4,-1/2,-0.5,48,9.440019575550936e-27,9.586949725269662e-23,2.0408062637927116,3.386618096832727e-05,48.4112934442861,False,-3.1329679648151867,True
69,5,0,5,-4.0,-1.5,5,-1/3,-0.3333333333333333,24,8.900135809179433e-27,9.586949725269662e-23,2.164668734597639,3.5921618040373555e-05,48.20973469993808,False,-3.3345267091632067,True
70,5,0,5,-4.0,-1.5,6,0,0.0,192,7.707743709539409e-27,9.586949725269662e-23,2.499698449410658,4.148127215988739e-05,47.57222493222805,False,-3.9720364768732352,True
71,5,0,5,-4.0,-1.5,7,1/3,0.3333333333333333,24,6.293346388214353e-27,9.586949725269662e-23,3.0616818287105807,5.080711124722587e-05,46.212255844716545,False,-5.332005564384744,True
72,5,0,5,-4.0,-1.5,8,1/2,0.5,48,5.450197849354075e-27,9.586949725269662e-23,3.535434758676566,5.8668809216873504e-05,44.79339522421117,False,-6.750866184890121,True
73,5,0,5,-4.0,-1.5,9,1/sqrt(3),0.5773502691896258,48,5.0109210974611465e-27,9.586949725269662e-23,3.8454197375559875,6.381285820302455e-05,43.733450372311054,False,-7.810811036790234,True
74,5,0,5,-4.0,-1.5,10,1/sqrt(2),0.7071067811865475,48,4.1714008451965854e-27,9.586949725269662e-23,4.619445255168174,7.665743278054555e-05,40.64080745504512,False,-10.903453954056168,True
75,5,0,5,-4.0,-1.5,11,sqrt(2/3),0.816496580927726,48,3.301789236248216e-27,9.586949725269662e-23,5.83621386710497,9.684911228463071e-05,34.5135359356547,False,-17.030725473446587,True
76,5,0,5,-4.0,-1.5,12,1,1.0,26,3.197862350085798e-31,9.586949725269662e-23,60260.88908058813,0.9999999564499487,-1815687315.6049185,True,-1815687367.14918,False
77,6,0,6,-4.0,-1.0,0,-1,-1.0,26,1.0900459641879956e-26,1.1504339670343472e-22,2.1207901688830035,3.5193474720997e-05,48.10101617374916,False,-3.44324523535213,True
78,6,0,6,-4.0,-1.0,1,-sqrt(2/3),-0.816496580927726,48,1.038836274003541e-26,1.1504339670343472e-22,2.22539806719437,3.6929391587669725e-05,47.92181211022245,False,-3.6224492988788413,True
79,6,0,6,-4.0,-1.0,2,-1/sqrt(2),-0.7071067811865475,48,1.007071155916891e-26,1.1504339670343472e-22,2.2956305040453735,3.8094864498274383e-05,47.794105530216626,False,-3.7501558788846623,True
80,6,0,6,-4.0,-1.0,3,-1/sqrt(3),-0.5773502691896258,48,9.680412987884489e-27,1.1504339670343472e-22,2.38823443145171,3.963158134374923e-05,47.6167601870886,False,-3.927501222012687,True
81,6,0,6,-4.0,-1.0,4,-1/2,-0.5,48,9.440074964744985e-27,1.1504339670343472e-22,2.4490665244884697,4.06410601502462e-05,47.494769259298884,False,-4.049492149802404,True
82,6,0,6,-4.0,-1.0,5,-1/3,-0.3333333333333333,24,8.90018803089325e-27,1.1504339670343472e-22,2.5976941331170322,4.310746256188437e-05,47.17861679309348,False,-4.365644616007806,True
83,6,0,6,-4.0,-1.0,6,0,0.0,192,7.707788935599909e-27,1.1504339670343472e-22,2.9997131107265735,4.9778770706109816e-05,46.197325860292416,False,-5.346935548808872,True
84,6,0,6,-4.0,-1.0,7,1/3,0.3333333333333333,24,6.29338331632972e-27,1.1504339670343472e-22,3.674072220927356,6.096943003957194e-05,44.14979444476423,False,-7.394466964337056,True
85,6,0,6,-4.0,-1.0,8,1/2,0.5,48,5.450229831072055e-27,1.1504339670343472e-22,4.242562273800051,7.040324418981904e-05,42.04337149912976,False,-9.500889909971526,True
86,6,0,6,-4.0,-1.0,9,1/sqrt(3),0.5773502691896258,48,5.010950502201159e-27,1.1504339670343472e-22,4.614536789211776,7.65759791907044e-05,40.480096093695664,False,-11.064165315405624,True
87,6,0,6,-4.0,-1.0,10,1/sqrt(2),0.7071067811865475,48,4.171425325177769e-27,1.1504339670343472e-22,5.5433518748195745,9.198921087926661e-05,35.94606381524973,False,-15.598197593851559,True
88,6,0,6,-4.0,-1.0,11,sqrt(2/3),0.816496580927726,48,3.301808615434386e-27,1.1504339670343472e-22,7.003455190764752,0.0001162189106834792,27.02003391314285,False,-24.52422749595844,True
89,6,0,6,-4.0,-1.0,12,1,1.0,26,3.8374347513057728e-31,1.1504339670343472e-22,60260.89016104019,0.9999999743795216,-1815687380.8962424,True,-1815687432.4405038,False
90,7,0,7,-4.0,-0.5,0,-1,-1.0,26,1.090052359912417e-26,1.3421729615384153e-22,2.4743497762511177,4.106062333703804e-05,47.28868236897514,False,-4.25557904012615,True
91,7,0,7,-4.0,-0.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388423692842382e-26,1.3421729615384153e-22,2.5963864828658667,4.3085762746064055e-05,47.02739313735932,False,-4.51686827174197,True
92,7,0,7,-4.0,-0.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070770648344434e-26,1.3421729615384153e-22,2.678320665864345,4.444542040595466e-05,46.842358573759576,False,-4.701902835341713,True
93,7,0,7,-4.0,-0.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680469787219987e-27,1.3421729615384153e-22,2.7863540409320486,4.623818138262013e-05,46.58670174873275,False,-4.957559660368538,True
94,7,0,7,-4.0,-0.5,4,-1/2,-0.5,48,9.440130354047353e-27,1.3421729615384153e-22,2.857321994276847,4.741585982940231e-05,46.41158232304775,False,-5.132679086053535,True
95,7,0,7,-4.0,-0.5,5,-1/3,-0.3333333333333333,24,8.900240252760257e-27,1.3421729615384153e-22,3.0307144500670584,5.029322275723897e-05,45.960003291301845,False,-5.584258117799443,True
96,7,0,7,-4.0,-0.5,6,0,0.0,192,7.707834161925738e-27,1.3421729615384153e-22,3.499721904196689,5.8076171878303525e-05,44.5724326626716,False,-6.971828746429686,True
97,7,0,7,-4.0,-0.5,7,1/3,0.3333333333333333,24,6.293420244878372e-27,1.3421729615384153e-22,4.286455426150623,7.113162956727877e-05,41.712341859051236,False,-9.831919550050053,True
98,7,0,7,-4.0,-0.5,8,1/2,0.5,48,5.4502618133528865e-27,1.3421729615384153e-22,4.949681489660105,8.213754144055045e-05,38.79335953007982,False,-12.75090187902147,True
99,7,0,7,-4.0,-0.5,9,1/sqrt(3),0.5773502691896258,48,5.010979907584935e-27,1.3421729615384153e-22,5.383644813709682,8.933895037711799e-05,36.63524937489102,False,-14.90901203421027,True
100,7,0,7,-4.0,-0.5,10,1/sqrt(2),0.7071067811865475,48,4.171449805995892e-27,1.3421729615384153e-22,6.46724764934153,0.00010732080900837324,30.397786871649185,False,-21.146474537452104,True
101,7,0,7,-4.0,-0.5,11,sqrt(2/3),0.816496580927726,48,3.301827995745683e-27,1.3421729615384153e-22,8.170682810005632,0.00013558848166420436,18.16419155721951,False,-33.38006985188178,True
