virtual_index,energy_eV,frequency_Hz,tau,A_photons_per_H_per_dlnnu_per_occupation,Dfplus,Dfbar,Dfeq,Dfminus,transport_flux_sInv_per_H,collision_flux_sInv_per_H,direct_flux_sInv_per_H,schur_flux_sInv_per_H
46,9.4760472,2291298018708891.0,0.00028098197524798114,44849570879991.65,1.8608138585152552e-14,1.8623100648563133e-14,1.2511649950526988e-13,1.863806131071418e-14,6.669378296663805e-17,6.669378296663631e-17,6.669378296662398e-17,6.669378296662398e-17
47,9.487361,2294033683377601.0,0.0002893529331952528,45010405391988.19,1.836747348581275e-14,1.838214198038798e-14,1.1976550832176193e-13,1.8396809060240836e-14,6.561957776774662e-17,6.561957776774375e-17,6.561957776773957e-17,6.561957776774662e-17
48,9.4986476,2296762771115572.5,0.0002979502049552512,45171235902742.08,1.813034960182665e-14,1.8144728007768244e-14,1.1465543172250782e-13,1.815910498577883e-14,6.455160640724648e-17,6.455160640724813e-17,6.45516064072394e-17,6.45516064072394e-17
49,9.5098798,2299478704992067.0,0.00030674894467757236,45331671130227.23,1.7897208198471143e-14,1.791130022545583e-14,1.0978647585112102e-13,1.7925390811636382e-14,6.349052224068932e-17,6.349052224068885e-17,6.34905222406751e-17,6.34905222406822e-17
50,9.5210576,2302181485007085.0,0.00031575283405226446,45491706012865.15,1.766798169952319e-14,1.7681791024881865e-14,1.0514639733475447e-13,1.7695598896844796e-14,6.243638317352481e-17,6.243638317352774e-17,6.243638317353909e-17,6.243638317353909e-17
51,9.5322082,2304877688091364.0,0.000325000282906073,45651726301063.09,1.744212162862691e-14,1.745565169691263e-14,1.0071302817212789e-13,1.7469180299535373e-14,6.138886105150931e-17,6.138886105150658e-17,6.138886105150215e-17,6.138886105150215e-17
52,9.5433044,2307560737314166.5,0.0003344637409313997,45811337981137.53,1.7220055339057372e-14,1.7233309800572644e-14,9.648687946234375e-14,1.7246562784448616e-14,6.034853918487447e-17,6.034853918487181e-17,6.034853918487447e-17,6.034853918487447e-17
53,9.5543462,2310230632675491.5,0.0003441478415075979,45970536022958.695,1.7001718384732212e-14,1.701470087032221e-14,9.245751590103417e-14,1.7027681866682288e-14,5.931552971182181e-17,5.931552971182408e-17,5.931552971182902e-17,5.931552971182902e-17
54,9.5653608,2312893951106078.5,0.00035409530618573916,46129708931878.305,1.6786581627294518e-14,1.6799295541520267e-14,8.860574832836986e-14,1.681200795518019e-14,5.828949165917495e-17,5.82894916591732e-17,5.828949165917495e-17,5.828949165917495e-17
55,9.576321,2315544115675188.5,0.0003642764682725673,46288459987298.414,1.6575058672834736e-14,1.6587507630233485e-14,8.493231015645115e-14,1.6599955076123773e-14,5.727106415995618e-17,5.727106415995495e-17,5.727106415994892e-17,5.727106415994892e-17
56,9.5872268,2318181126382821.5,0.0003746970576265581,46446784191628.414,1.6367088019295403e-14,1.6379275618513808e-14,8.142829542118551e-14,1.6391461695616955e-14,5.626037210633566e-17,5.626037210633745e-17,5.626037210633566e-17,5.626037210633566e-17
57,9.5981055,2320811584339608.5,0.0003854048996285727,46605074238714.16,1.616215735756293e-14,1.6174086973595278e-14,7.807703528598211e-14,1.618601505714398e-14,5.52570480319973e-17,5.5257048031998204e-17,5.52570480319973e-17,5.52570480319973e-17
58,9.6089297,2323428864255025.5,0.0003963678304503243,46762927816020.164,1.5960670472781937e-14,1.597234569088889e-14,7.487948188181387e-14,1.5984019366551976e-14,5.426176474085835e-17,5.426176474085604e-17,5.4261764740851016e-17,5.4261764740851016e-17
59,9.6196995,2326032990308966.5,0.0004075934477027214,46920341412967.8,1.5762566987116102e-14,1.577399138504474e-14,7.182799301659354e-14,1.5785414230898637e-14,5.327468489558154e-17,5.3274684895584554e-17,5.32746848955889e-17,5.32746848955889e-17
60,9.6304422,2328630563612061.0,0.00041913545481784306,47077710441536.8,1.5567352300091114e-14,1.5578529235759675e-14,6.890809044149859e-14,1.5589704609982318e-14,5.229541980032122e-17,5.229541980032e-17,5.229541980032122e-17,5.229541980032122e-17
61,9.6411304,2331214958873786.0,0.00043095967011482574,47234629913071.984,1.5375417484055232e-14,1.5386350525486293e-14,6.612082508230555e-14,1.5397281996473687e-14,5.132467693244108e-17,5.1324676932443166e-17,5.1324676932433675e-17,5.132467693244108e-17
62,9.6517915,2333792801384665.5,0.0004431248953601141,47391498499600.8,1.5186277614448515e-14,1.5196970120083875e-14,6.345296350360753e-14,1.520766104646709e-14,5.0362091973219937e-17,5.03620919732175e-17,5.036209197321251e-17,5.036209197321251e-17
63,9.6623982,2336357490034067.5,0.00045559606249371475,47547910915493.64,1.5000313426031507e-14,1.50107689638617e-14,6.090556409398912e-14,1.5021222913981748e-14,4.9408395225921225e-17,4.940839522592292e-17,4.9408395225921225e-17,4.9408395225921225e-17
64,9.6729776,2338915577572838.5,0.00046843691244822036,47704263197975.555,1.4817055761002037e-14,1.4827277698099214e-14,5.846661879624201e-14,1.4837498039207326e-14,4.846323462999347e-17,4.846323462999109e-17,4.846323462999347e-17,4.846323462999347e-17
65,9.6835027,2341460535430025.5,0.00048161215502122787,47860152733495.42,1.4636872979503452e-14,1.4646864890911372e-14,5.613713595773022e-14,1.465685519836436e-14,4.752736118115871e-17,4.752736118115633e-17,4.752736118115871e-17,4.752736118115871e-17
66,9.6939734,2343992339425735.5,0.0004951355861575052,48015573157123.91,1.4459713792181398e-14,1.4469479250434137e-14,5.3911816736932996e-14,1.44792430970722e-14,4.660095463409563e-17,4.6600954634092615e-17,4.660095463409563e-17,4.660095463409563e-17
