physics_orbit_id,frequency_i,frequency_j,x_i,x_j,width_i,width_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI,DeltaE_SI,p_parallel_over_sigma,required_speed_over_c,active,background_lane,max_fractional_detuning
2363,7,7,-3.5,-3.5,0.5,0.5,4,-1/2,-0.5,24,9.439853408402074e-27,0.0,-0.000566912282353253,9.407631820799234e-09,True,series_v0_8,8.213320437901116e-05
2364,7,7,-3.5,-3.5,0.5,0.5,5,-1/3,-0.3333333333333333,12,8.899979144650734e-27,0.0,-0.0005344900255865706,8.869600340524648e-09,True,series_v0_8,8.213320437901116e-05
2365,7,7,-3.5,-3.5,0.5,0.5,6,0,0.0,96,7.707608032419235e-27,0.0,-0.0004628819402273647,7.681299216309453e-09,True,series_v0_8,8.213320437901116e-05
2366,7,7,-3.5,-3.5,0.5,0.5,7,1/3,0.3333333333333333,12,6.293235605601383e-27,0.0,-0.00037794152156883534,6.27175454719949e-09,True,series_v0_8,8.213320437901116e-05
2367,7,7,-3.5,-3.5,0.5,0.5,8,1/2,0.5,24,5.450101906451544e-27,0.0,-0.0003273069588235558,5.431498764175327e-09,True,series_v0_8,8.213320437901116e-05
2368,7,7,-3.5,-3.5,0.5,0.5,9,1/sqrt(3),0.5773502691896258,24,5.0108328858161566e-27,0.0,-0.0003009265700313065,4.99372912542833e-09,True,series_v0_8,8.213320437901116e-05
2369,7,7,-3.5,-3.5,0.5,0.5,10,1/sqrt(2),0.7071067811865475,24,4.1713274086007926e-27,0.0,-0.00025050990087915485,4.157089179922715e-09,True,series_v0_8,8.213320437901116e-05
2370,7,7,-3.5,-3.5,0.5,0.5,11,sqrt(2/3),0.816496580927726,24,3.3017311031901976e-27,0.0,-0.00019828612102813632,3.2904611169542067e-09,True,series_v0_8,8.213320437901116e-05
2371,7,8,-3.5,-3.0,0.5,0.5,0,-1,-1.0,26,1.0900267770147307e-26,1.9173899450738107e-23,0.352925739053052,5.8566298816325645e-06,True,series_v0_8,8.213320437901116e-05
2372,7,8,-3.5,-3.0,0.5,0.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388179881686733e-26,1.9173899450738107e-23,0.37038632345732747,6.1463797328256935e-06,True,series_v0_8,8.213320437901116e-05
2373,7,8,-3.5,-3.0,0.5,0.5,2,-1/sqrt(2),-0.7071067811865475,48,1.007053429176128e-26,1.9173899450738107e-23,0.38210783243961477,6.340892436681417e-06,True,series_v0_8,8.213320437901116e-05
2374,7,8,-3.5,-3.0,0.5,0.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680242590056548e-27,1.9173899450738107e-23,0.39756162444286974,6.597340550309061e-06,True,series_v0_8,8.213320437901116e-05
2375,7,8,-3.5,-3.0,0.5,0.5,4,-1/2,-0.5,48,9.439908797054488e-27,1.9173899450738107e-23,0.407712512759684,6.765789573043651e-06,True,series_v0_8,8.213320437901116e-05
2376,7,8,-3.5,-3.0,0.5,0.5,5,-1/3,-0.3333333333333333,24,8.900031365598564e-27,1.9173899450738107e-23,0.4325112354644407,7.177312237297859e-06,True,series_v0_8,8.213320437901116e-05
2377,7,8,-3.5,-3.0,0.5,0.5,6,0,0.0,192,7.707653257153005e-27,1.9173899450738107e-23,0.49957525132695835,8.29020675254788e-06,True,series_v0_8,8.213320437901116e-05
2378,7,8,-3.5,-3.0,0.5,0.5,7,1/3,0.3333333333333333,24,6.29327253155021e-27,1.9173899450738107e-23,0.6120411987958867,1.015652409845739e-05,True,series_v0_8,8.213320437901116e-05
2379,7,8,-3.5,-3.0,0.5,0.5,8,1/2,0.5,48,5.4501338853551034e-27,1.9173899450738107e-23,0.706833404707487,1.1729554354559772e-05,True,series_v0_8,8.213320437901116e-05
2380,7,8,-3.5,-3.0,0.5,0.5,9,1/sqrt(3),0.5773502691896258,48,5.010862287337173e-27,1.9173899450738107e-23,0.7688522326383689,1.2758726445715276e-05,True,series_v0_8,8.213320437901116e-05
2381,7,8,-3.5,-3.0,0.5,0.5,10,1/sqrt(2),0.7071067811865475,48,4.1713518843970416e-27,1.9173899450738107e-23,0.9236994871723133,1.5328340836622424e-05,True,series_v0_8,8.213320437901116e-05
2382,7,8,-3.5,-3.0,0.5,0.5,11,sqrt(2/3),0.816496580927726,48,3.301750476750428e-27,1.9173899450738107e-23,1.1670978468874995,1.9367417472044672e-05,True,series_v0_8,8.213320437901116e-05
2383,7,8,-3.5,-3.0,0.5,0.5,12,1,1.0,26,6.395718852408288e-32,1.9173899450738107e-23,60260.94417924366,1.0000008707851664,False,series_v0_8,8.213320437901116e-05
2384,7,9,-3.5,-2.5,0.5,0.5,0,-1,-1.0,26,1.0900331727391521e-26,3.8347798901144907e-23,0.7065019427814908,1.1724053906149233e-05,True,series_v0_8,8.213320437901116e-05
2385,7,9,-3.5,-2.5,0.5,0.5,1,-sqrt(2/3),-0.816496580927726,48,1.0388240834313068e-26,3.8347798901144907e-23,0.7413921536882462,1.2303039877309158e-05,True,series_v0_8,8.213320437901116e-05
2386,7,9,-3.5,-2.5,0.5,0.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0070593380639393e-26,3.8347798901144907e-23,0.7648159581651955,1.269174644659851e-05,True,series_v0_8,8.213320437901116e-05
2387,7,9,-3.5,-2.5,0.5,0.5,3,-1/sqrt(3),-0.5773502691896258,48,9.680299388945576e-27,3.8347798901144907e-23,0.7956999221846974,1.3204250711731436e-05,True,series_v0_8,8.213320437901116e-05
2388,7,9,-3.5,-2.5,0.5,0.5,4,-1/2,-0.5,48,9.43996418581523e-27,3.8347798901144907e-23,0.8159871466553871,1.3540907271179962e-05,True,series_v0_8,8.213320437901116e-05
2389,7,9,-3.5,-2.5,0.5,0.5,5,-1/3,-0.3333333333333333,24,8.900083586699595e-27,3.8347798901144907e-23,0.8655518791689176,1.4363409745192584e-05,True,series_v0_8,8.213320437901116e-05
2390,7,9,-3.5,-2.5,0.5,0.5,6,0,0.0,192,7.707698482152125e-27,3.8347798901144907e-23,0.999607516627806,1.6587997428283073e-05,True,series_v0_8,8.213320437901116e-05
2391,7,9,-3.5,-2.5,0.5,0.5,7,1/3,0.3333333333333333,24,6.2933094579323534e-27,3.8347798901144907e-23,1.224453152288407,2.0319200689620145e-05,True,series_v0_8,8.213320437901116e-05
2392,7,9,-3.5,-2.5,0.5,0.5,8,1/2,0.5,48,5.4501658648215596e-27,3.8347798901144907e-23,1.413985817670136,2.3464402494958692e-05,True,series_v0_8,8.213320437901116e-05
