native_bin,level,piece_type,fine_cell,fraction,piece_energy_eV,Tvr_magnitude,Trv_magnitude,exponential_tilt_lambda
139,2s,fine,16,0.08890989315480664,10.198594881237558,1.584537179079651e-05,1.5838038440496103e-05,-1.836145989161405
139,2s,fine,17,0.04441486207374911,10.198684608797826,7.003614158893204e-06,7.002802956910014e-06,-1.836145989161405
139,2p,fine,6,0.06648620638478317,10.197413245216897,0.9752471189862787,2.911051111569023,-1.836145989243494
139,2p,fine,7,0.08890989315480664,10.197517826791888,1.1307708517715607,3.376645349239193,-1.836145989243494
139,2p,fine,8,0.08890989315348691,10.197637499508073,0.9604513258811367,2.869374572098037,-1.836145989243494
139,2p,fine,9,0.08890989315480664,10.197757172224257,0.8157857517895912,2.4383106852196668,-1.836145989243494
139,2p,fine,10,0.08890989315348691,10.197876844940444,0.6929100672446782,2.0720051872204297,-1.836145989243494
139,2p,fine,11,0.08890989315480664,10.19799651765663,0.58854222478148,1.7607294763624632,-1.836145989243494
139,2p,fine,12,0.08890989315348691,10.198116190372815,0.49989452703243364,1.4962164708699053,-1.836145989243494
139,2p,fine,13,0.08890989315348691,10.198235863089,0.4245991666162497,1.2714410463329877,-1.836145989243494
139,2p,fine,14,0.08890989315480664,10.198355535805185,0.36064498118058574,1.08043345718848,-1.836145989243494
139,2p,fine,15,0.08890989315348691,10.198475208521371,0.30632373464859014,0.9181207880157207,-1.836145989243494
139,2p,fine,16,0.08890989315480664,10.198594881237558,0.260184489756867,0.7801922235962216,-1.836145989243494
139,2p,fine,17,0.04441486207374911,10.198684608797826,0.11500088482834046,0.3449626941400945,-1.836145989243494
140,2s,fine,17,0.04447850860264557,10.198744445155917,7.041337700010103e-06,7.0421518961306e-06,1.8275431924076897
140,2s,fine,18,0.08887687797002589,10.198834226669927,1.5893344383790597e-05,1.5900703341924788e-05,1.8275431924076897
140,2s,fine,19,0.08887687796870665,10.198953899386114,1.8696320927498147e-05,1.871363852814242e-05,1.8275431924076897
140,2s,fine,20,0.08887687797002589,10.1990735721023,2.199363505838874e-05,2.2024199775428386e-05,1.8275431924076897
140,2s,fine,21,0.08887687796870665,10.199193244818485,2.5872468970866592e-05,2.5920420286142798e-05,1.8275431924076897
140,2s,fine,22,0.08887687796870665,10.19931291753467,3.0435380458087424e-05,3.050590689655095e-05,1.8275431924076897
140,2s,fine,23,0.08887687797002589,10.199432590250854,3.580301457450168e-05,3.5902595147824716e-05,1.8275431924076897
140,2s,fine,24,0.08887687796870665,10.19955226296704,4.2117293534485635e-05,4.225399174935503e-05,1.8275431924076897
140,2s,fine,25,0.08887687797002589,10.199671935683227,4.9545169193266914e-05,4.972899066088103e-05,1.8275431924076897
140,2s,fine,26,0.08887687796870665,10.199791608399412,5.8283037306296166e-05,5.85263642483753e-05,1.8275431924076897
140,2s,fine,27,0.08887687797002589,10.199911281115597,6.856193031649972e-05,6.888004897573173e-05,1.8275431924076897
140,2s,fine,28,0.06675271170369174,10.200016058736846,5.9364133476614164e-05,5.9663752193818104e-05,1.8275431924076897
140,2p,fine,17,0.04447850860264557,10.198744445155917,0.1156990352351059,0.3471372408513569,1.82754319245614
140,2p,fine,18,0.08887687797002589,10.198834226669927,0.2611498965412726,0.7838124435745888,1.82754319245614
