physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,q_dimensionless,delta_dimensionless,log_S_MJ_over_S_MB,S_MJ_over_S_MB,delta_even_residual,full_mean_amp2,amplitude_quad_change
1635,10,11,1.0,1.5,0.5,1.0864208568682728e-08,1.274778706481784e-13,-5.421476600986352e-10,0.9999999994578523,0.0,23313160547.33698,7.0360250850077065e-15
1636,10,11,1.0,1.5,0.5773502691896258,9.988571683506545e-09,1.274778706481784e-13,-5.524576351945143e-10,0.9999999994475424,3.552713678800501e-15,25173223258.65688,1.515378951049963e-16
1637,10,11,1.0,1.5,0.7071067811865475,8.31510525039221e-09,1.274778706481784e-13,-5.915588019433926e-10,0.9999999994084412,3.552713678800501e-15,28120832315.365944,2.0483721130637493e-14
1638,10,11,1.0,1.5,0.816496580927726,6.581655896114967e-09,1.274778706481784e-13,-7.079776764840062e-10,0.9999999992920223,3.552713678800501e-15,30431964283.03664,1.7674584179008954e-14
1640,10,12,1.0,2.0,-1.0,2.1728544614114255e-08,2.5495574129415405e-13,-5.421476600986352e-10,0.9999999994578523,0.0,34922347.23221793,4.906982700497154e-15
1641,10,12,1.0,2.0,-0.816496580927726,2.0707750926819764e-08,2.5495574129415405e-13,-5.476259445913456e-10,0.999999999452374,-3.552713678800501e-15,37315767.03443753,5.191239814024084e-15
1642,10,12,1.0,2.0,-0.7071067811865475,2.0074557640475612e-08,2.5495574129415405e-13,-5.517648560271482e-10,0.9999999994482351,0.0,39166783.84573711,4.7556755146585416e-15
1643,10,12,1.0,2.0,-0.5773502691896258,1.9296551922555176e-08,2.5495574129415405e-13,-5.578328909905395e-10,0.9999999994421671,3.552713678800501e-15,50085943.292232834,7.437796023379717e-16
1644,10,12,1.0,2.0,-0.5,1.881747162351828e-08,2.5495574129415405e-13,-5.622240450975369e-10,0.999999999437776,0.0,83559249.95962831,3.9232705705596616e-15
1645,10,12,1.0,2.0,-0.3333333333333333,1.7741282386570495e-08,2.5495574129415405e-13,-5.744134057295014e-10,0.9999999994255866,0.0,376133531.9762439,2.4720807358244804e-14
1646,10,12,1.0,2.0,0.0,1.5364401243012303e-08,2.5495574129415405e-13,-6.195861601554498e-10,0.9999999993804138,0.0,2595423391.379184,3.8581683264187975e-15
1647,10,12,1.0,2.0,0.3333333333333333,1.2544981083784841e-08,2.5495574129415405e-13,-7.486526953925932e-10,0.9999999992513473,-3.552713678800501e-15,6833918769.551429,5.0238050155926175e-15
1648,10,12,1.0,2.0,0.5,1.0864272309300805e-08,2.5495574129415405e-13,-9.293437130963866e-10,0.9999999990706563,-3.552713678800501e-15,9353565194.233656,8.972337082280411e-15
1649,10,12,1.0,2.0,0.5773502691896258,9.988630287115847e-09,2.5495574129415405e-13,-1.094345947194597e-09,0.999999998905654,0.0,10559563539.07369,6.321966045416078e-15
1650,10,12,1.0,2.0,0.7071067811865475,8.315154036563489e-09,2.5495574129415405e-13,-1.7199290880398621e-09,0.9999999982800709,-3.552713678800501e-15,12597382808.8067,6.6619663081985615e-15
1651,10,12,1.0,2.0,0.816496580927726,6.58169451322007e-09,2.5495574129415405e-13,-3.5826062116939283e-09,0.9999999964173938,0.0,14306148993.912195,2.79979757697946e-15
1653,10,13,1.0,2.5,-1.0,2.17286720919849e-08,3.824336119423324e-13,-6.470095570421108e-10,0.9999999993529904,0.0,25659412.182951413,5.081377527923157e-15
1654,10,13,1.0,2.5,-0.816496580927726,2.070787241603831e-08,3.824336119423324e-13,-6.747455927325063e-10,0.9999999993252544,0.0,26910324.89365508,5.260472770246264e-15
1655,10,13,1.0,2.5,-0.7071067811865475,2.007467541496753e-08,3.824336119423324e-13,-6.956959452963929e-10,0.999999999304304,0.0,27769693.39085692,5.097680746743904e-15
1656,10,13,1.0,2.5,-0.5773502691896258,1.929666513276143e-08,3.824336119423324e-13,-7.264198131906596e-10,0.9999999992735802,0.0,29126087.24262105,4.7323809715639306e-15
1657,10,13,1.0,2.5,-0.5,1.881758202313242e-08,3.824336119423324e-13,-7.486455899652356e-10,0.9999999992513544,0.0,31312725.22021403,2.7363212962796334e-15
1658,10,13,1.0,2.5,-0.3333333333333333,1.774138647257933e-08,3.824336119423324e-13,-8.103526738523215e-10,0.9999999991896473,0.0,60555569.88781499,2.9528899597087744e-15
1659,10,13,1.0,2.5,0.0,1.5364491384801174e-08,3.824336119423324e-13,-1.039033747929352e-09,0.9999999989609663,0.0,537327376.9743607,8.652383056786458e-15
1660,10,13,1.0,2.5,0.3333333333333333,1.254505468532673e-08,3.824336119423324e-13,-1.6924133205975522e-09,0.9999999983075867,0.0,2044883280.1443305,3.381189949118907e-15
1661,10,13,1.0,2.5,0.5,1.0864336051040693e-08,3.824336119423324e-13,-2.6071411696193536e-09,0.9999999973928588,0.0,3190028533.314326,1.5246694388086317e-14
1662,10,13,1.0,2.5,0.5773502691896258,9.98868889200822e-09,3.824336119423324e-13,-3.442458762492606e-09,0.9999999965575412,0.0,3793004948.766596,1.7600083060831626e-14
1663,10,13,1.0,2.5,0.7071067811865475,8.315202824402861e-09,3.824336119423324e-13,-6.609390368339518e-09,0.9999999933906096,0.0,4886458424.245535,1.2490673397967931e-14
1664,10,13,1.0,2.5,0.816496580927726,6.581733132567644e-09,3.824336119423324e-13,-1.60389710401887e-08,0.9999999839610291,0.0,5872241750.826849,2.890787462835808e-14
1666,10,14,1.0,3.0,-1.0,2.1728799569855548e-08,5.099114825883081e-13,-9.293223968143138e-10,0.9999999990706776,0.0,19646743.13150163,4.929954400671538e-15
1667,10,14,1.0,3.0,-0.816496580927726,2.0707993905328852e-08,5.099114825883081e-13,-1.0169785014113586e-09,0.9999999989830215,0.0,20365696.083041903,5.1217561104522616e-15
1668,10,14,1.0,3.0,-0.7071067811865475,2.007479318957798e-08,5.099114825883081e-13,-1.0831939789568423e-09,0.999999998916806,0.0,20840951.044857588,5.183708671589259e-15
1669,10,14,1.0,3.0,-0.5773502691896258,1.9296778343145633e-08,5.099114825883081e-13,-1.1802931965121388e-09,0.9999999988197068,3.552713678800501e-15,21464579.451872345,4.859546798520427e-15
1670,10,14,1.0,3.0,-0.5,1.881769242296245e-08,5.099114825883081e-13,-1.2505374513693823e-09,0.9999999987494625,-3.552713678800501e-15,21907059.86746651,4.7613933128396816e-15
1671,10,14,1.0,3.0,-0.3333333333333333,1.7741490558893475e-08,5.099114825883081e-13,-1.445560116053457e-09,0.9999999985544399,0.0,24604577.668267027,3.633753375836064e-15
1672,10,14,1.0,3.0,0.0,1.536458152711886e-08,5.099114825883081e-13,-2.1682922124455217e-09,0.9999999978317078,-3.552713678800501e-15,102342525.82870898,4.5136270897048316e-15
1673,10,14,1.0,3.0,0.3333333333333333,1.2545128287732174e-08,5.099114825883081e-13,-4.233235983974737e-09,0.999999995766764,0.0,519980483.10412616,3.47324716095677e-14
1674,10,14,1.0,3.0,0.5,1.0864399793902374e-08,5.099114825883081e-13,-7.124157264115638e-09,0.9999999928758427,3.552713678800501e-15,932395412.0411758,1.7260117200839217e-14
1675,10,14,1.0,3.0,0.5773502691896258,9.988747498183645e-09,5.099114825883081e-13,-9.764111297272393e-09,0.9999999902358887,0.0,1173702628.848519,2.9454389144244077e-14
1676,10,14,1.0,3.0,0.7071067811865475,8.315251613910295e-09,5.099114825883081e-13,-1.977295127630896e-08,0.999999980227049,-3.552713678800501e-15,1647436848.164667,1.6064022308203363e-14
1677,10,14,1.0,3.0,0.816496580927726,6.581771754157647e-09,5.099114825883081e-13,-4.957438193287089e-08,0.9999999504256193,3.552713678800501e-15,2110257987.0448816,3.502403970283489e-15
1679,10,15,1.0,3.5,-1.0,2.1728927047726196e-08,6.373893532364865e-13,-1.5245831264110166e-09,0.9999999984754169,0.0,15524128.005271256,5.0393230615682005e-15
1680,10,15,1.0,3.5,-0.816496580927726,2.0708115394691396e-08,6.373893532364865e-13,-1.7385843875672435e-09,0.9999999982614156,-3.552713678800501e-15,15967183.317957334,5.132801755585199e-15
1681,10,15,1.0,3.5,-0.7071067811865475,2.0074910964306985e-08,6.373893532364865e-13,-1.9002435180937027e-09,0.9999999980997565,-3.552713678800501e-15,16253114.881392928,5.157105719553592e-15
1682,10,15,1.0,3.5,-0.5773502691896258,1.92968915537078e-08,6.373893532364865e-13,-2.1372947855979874e-09,0.9999999978627052,-3.552713678800501e-15,16617568.699205955,5.1560898237007545e-15
1683,10,15,1.0,3.5,-0.5,1.8817802823008363e-08,6.373893532364865e-13,-2.3087807221600087e-09,0.9999999976912193,0.0,16850585.97366702,4.863711368508972e-15
1684,10,15,1.0,3.5,-0.3333333333333333,1.774159464551293e-08,6.373893532364865e-13,-2.784897645824458e-09,0.9999999972151024,0.0,17471021.803490732,4.477763072338993e-15
1685,10,15,1.0,3.5,0.0,1.536467166996536e-08,6.373893532364865e-13,-4.549335130832333e-09,0.9999999954506649,3.552713678800501e-15,27967041.062529262,5.461317909729753e-15
1686,10,15,1.0,3.5,0.3333333333333333,1.2545201891001162e-08,6.373893532364865e-13,-9.59058610305874e-09,0.9999999904094139,3.552713678800501e-15,120503926.78668731,2.7822838292653214e-14
1687,10,15,1.0,3.5,0.5,1.086446353788583e-08,6.373893532364865e-13,-1.6648343148517597e-08,0.999999983351657,0.0,240608696.85874528,1.7216845716601882e-14
