b,source_line,energy_eV,normalized_A2s_s_inv,companion_eV,C_s_inv,D_s_inv,C_reference_80dps,D_reference_80dps,dC_dlogTheta_s_inv,dD_dlogTheta_s_inv,C_JVP,D_JVP,coefficient_relative_error,literal_exp_relative_error,temperature_derivative_relative_error,JVP_component_scaled_error
51,52,9.5322082,0.009975286956013067,0.6665063539537428,0.01181717496558642,0.0008998028514673717,0.0118171749655864184808885926764,0.000899802851467371464781162997877,0.0025080874693667464,0.0025080874693667464,-0.006778252238659144,0.0003180396355182373,2.1157531492409936e-16,0.0,2.7068835566205474e-16,4.27286867917288e-17
52,53,9.5433044,0.009816718841212333,0.655410153953742,0.011671465360340071,0.000927636836731013,0.0116714653603400708156884923321,0.000927636836731012758746604054222,0.0025518370332519094,0.0025518370332519094,-0.006667791152250359,0.000315697388095529,2.0341074287025354e-16,1.4862944989507836e-16,1.3325046280211375e-16,4.6929934064924815e-17
53,54,9.5543462,0.00965863789050672,0.6443683539537428,0.011526894366898173,0.0009560762609961023,0.0115268943668981727198365015781,0.000956076260996102268414640814514,0.0025955291964576393,0.0025955291964576393,-0.006558090827759063,0.0003129409410772834,7.240942452036878e-18,0.0,1.4843626663559537e-16,1.092410232796928e-16
54,55,9.5653608,0.009501044303799425,0.6333537539537417,0.011383578774609764,0.0009852376948292425,0.0113835787746097630528048977326,0.000985237694829242637057554735022,0.0026393536985793915,0.0026393536985793915,-0.006449158872007766,0.00030976282984957317,1.8491534448066987e-16,0.0,1.2882446234478585e-16,1.129595239520616e-16
55,56,9.576321,0.009343933783171677,0.6223935539537422,0.011241410676178646,0.0010150179347566686,0.011241410676178645315114223725,0.00101501793475666822373286973033,0.002683073780342254,0.002683073780342254,-0.006341010378592909,0.0003061449033313771,3.27431424466072e-16,1.5431546146186175e-16,2.636497112154546e-16,9.589889176083382e-17
56,57,9.5872268,0.009187298132592333,0.6114877539537424,0.011100382857078806,0.0010454187363323503,0.0111003828570788074040793491402,0.00104541873633235051476719981863,0.00272665972351366,0.00272665972351366,-0.006233651356636306,0.0003020753218488896,1.643905635729883e-16,1.5627600401823615e-16,1.3244692899639678e-16,1.521032200785037e-16
57,58,9.5981055,0.009031133254045818,0.6006090539537414,0.010960618381942807,0.0010765676492288409,0.010960618381942806083267259058,0.00107656764922884091606451520301,0.002770312476751003,0.002770312476751003,-0.006127089456632464,0.0002975435196316146,1.146124713766897e-16,0.0,1.744345858931369e-16,1.360363198681181e-16
58,59,9.6089297,0.008875434949564961,0.5897848539537431,0.010821995962434256,0.0011083479795409648,0.0108219959624342567664770515289,0.00110834797954096474402978408165,0.0028137805475275794,0.0028137805475275794,-0.006021336378472338,0.00029253481040830156,6.101090166212712e-17,0.0,1.777374614425878e-16,8.931445657749865e-17
59,60,9.6196995,0.008720199121134191,0.5790150539537429,0.010684512461627776,0.0011407610753833325,0.0106845124616277773563656404547,0.00114076107538333264510283020836,0.0028570353138685453,0.0028570353138685453,-0.0059164003870653785,0.00028703801399351,1.2063425683177212e-16,0.0,2.4606047708446566e-17,1.0002406463151319e-16
60,61,9.6304422,0.008565417472770762,0.5682723539537431,0.010548297844000193,0.0011739459807039733,0.010548297844000192131191386733,0.00117394598070397344248486975182,0.002900288777227965,0.002900288777227965,-0.005812289638798059,0.0002810390723444843,8.013732789676716e-17,0.0,2.300799533873002e-16,1.4487990951910666e-16
61,62,9.6411304,0.008411086006410703,0.5575841539537425,0.010413217003960534,0.0012077719655606916,0.0104132170039605336738656066437,0.00120777196556069150693901800645,0.0029432758299164376,0.0029432758299164376,-0.00570901175380443,0.00027452752115546806,5.712293414328029e-17,0.0,4.825158360488716e-17,9.187285765768624e-17
62,63,9.6517915,0.008257200424135242,0.5469230539537424,0.010279414104426659,0.001242387896693777,0.0102794141044266590209284015945,0.00124238789669377663209643263618,0.0029862195134429054,0.0029862195134429054,-0.005606580143037882,0.00026748689198849104,2.302159287767181e-16,0.0,9.717531706409838e-17,1.0966805224493575e-16
63,64,9.6623982,0.008103756727880405,0.5363163539537421,0.010146744593468189,0.0012776535978216196,0.0101467445934681865892608296083,0.00127765359782161902268997067852,0.003028846382700465,0.003028846382700465,-0.005504999287982155,0.000259909859188115,4.4155909709217684e-16,1.709635499343808e-16,4.308718975675032e-16,6.281702790414334e-17
64,65,9.6729776,0.007950750719679019,0.5257369539537429,0.0100153605755366,0.0013137257678269183,0.01001536057553660052989451223,0.00131372576782691842801934963935,0.0030713861852813776,0.0030713861852813776,-0.0054042853473974944,0.00025177727761379893,7.606939253739141e-17,0.0,1.0329013484630562e-16,3.497822610938326e-17
