model,time_index,direction_index,frequency_residual_normalized,direction_residual_normalized
Bianchi_VI_minus_1_over_9_exceptional,90,1,2.220446049250313e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,90,6,5.551115123125783e-17,1.982018223909931e-12
Bianchi_VI_minus_1_over_9_exceptional,90,8,0.0,7.033061891112668e-12
Bianchi_VI_minus_1_over_9_exceptional,90,9,5.551115123125783e-17,1.021654674981224e-11
Bianchi_VI_minus_1_over_9_exceptional,90,16,1.1102230246251565e-16,2.395475528182331e-12
Bianchi_VI_minus_1_over_9_exceptional,90,20,2.220446049250313e-16,4.6610480377545425e-12
Bianchi_VI_minus_1_over_9_exceptional,90,24,2.220446049250313e-16,7.605266282419374e-12
Bianchi_VI_minus_1_over_9_exceptional,120,0,2.220446049250313e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,120,1,2.220446049250313e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,120,6,0.0,1.1193216413606647e-11
Bianchi_VI_minus_1_over_9_exceptional,120,8,2.220446049250313e-16,4.597450014636681e-12
Bianchi_VI_minus_1_over_9_exceptional,120,9,0.0,2.0669405246748146e-12
Bianchi_VI_minus_1_over_9_exceptional,120,16,2.220446049250313e-16,4.202384883713015e-12
Bianchi_VI_minus_1_over_9_exceptional,120,20,0.0,4.4694423524704635e-12
Bianchi_VI_minus_1_over_9_exceptional,120,24,2.220446049250313e-16,4.529962757116929e-12
Bianchi_VI_minus_1_over_9_exceptional,150,0,4.440892098500626e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,150,1,4.440892098500626e-16,0.0
Bianchi_VI_minus_1_over_9_exceptional,150,6,5.421010862427522e-20,8.391549038140557e-13
Bianchi_VI_minus_1_over_9_exceptional,150,8,2.220446049250313e-16,2.7291028333910172e-12
Bianchi_VI_minus_1_over_9_exceptional,150,9,5.421010862427522e-20,5.989783439732981e-12
Bianchi_VI_minus_1_over_9_exceptional,150,16,0.0,6.5224412961435484e-12
