event_id,beta_norm,nu_in_Hframe_Hz,nu_in_initial_rest_Hz,nu_out_initial_rest_Hz,mu_initial_rest,four_momentum_relative,initial_mass_shell_relative,final_mass_shell_relative,incoming_null_absolute,outgoing_null_absolute,reverse_photon_relative,reverse_atom_relative,reverse_four_momentum_relative,same_event_transfer_absolute
76,0.48436289596812543,3754715599133785.5,5372304822905147.0,5372304724302825.0,0.22449344168413105,3.3797329679535126e-17,0.0,3.318187064267828e-16,0.0,3.7092061506874214e-68,3.1321163717767115e-16,0.0,1.3597879431645941e-17,0.0
77,0.5546412658396213,4427501624173528.0,3850098086607005.5,3850098069974565.0,0.7452982023495383,1.72060746651868e-17,0.0,3.318187064267828e-16,1.8546030753437107e-68,0.0,2.499787155040388e-16,0.0,2.9426792108702006e-17,0.0
78,0.009996129251329979,1481643580149464.5,1491550395686242.5,1491550391708522.8,0.5941384282860585,1.3736745221307243e-17,4.977280596401743e-16,4.977280596401743e-16,0.0,0.0,7.21718229393486e-16,0.0,2.4844574154644562e-17,0.0
79,0.58373595790134,2033721383119168.5,1181459221029426.5,1181459217041120.0,0.35140939873182636,2.7204901032000232e-17,3.318187064267828e-16,3.318187064267828e-16,4.636507688359277e-69,1.1591269220898192e-69,3.397682845966144e-16,0.0,3.3278467018823216e-17,0.0
80,0.3378630763575573,1244015104063374.2,1471321233952024.5,1471321217278674.2,-0.7483464187076434,2.5856068392948e-17,0.0,3.318187064267828e-16,1.1591269220898192e-69,2.3182538441796384e-69,2.917390965571171e-16,0.0,4.0296411886298216e-17,0.0
81,0.1943494358726123,2780924396311593.5,2721582796497522.0,2721582783134490.0,0.5904739619580502,2.068439648830604e-17,1.659093532133914e-16,1.659093532133914e-16,0.0,4.636507688359277e-69,2.0217931735004816e-16,0.0,9.052099641469838e-18,0.0
82,0.006311709294398659,1530613865018343.8,1536720995564106.5,1536720983607401.2,-0.14932036259854098,3.527381207074025e-17,0.0,3.318187064267828e-16,2.3182538441796384e-69,0.0,1.5457850723980142e-16,0.0,3.542376018528266e-17,0.0
83,0.04743286707424719,2321786379283681.5,2316404154899373.5,2316404130991941.5,-0.011402155681037768,2.984758621867996e-17,3.318187064267828e-16,0.0,0.0,0.0,9.886168848520088e-17,0.0,2.245431496224324e-17,0.0
84,0.5657527262266068,1279517604811342.8,788015948723542.2,788015945360716.1,-0.22928905510596548,1.635442664894554e-17,0.0,0.0,1.1591269220898192e-69,1.1591269220898192e-69,1.2684957578485914e-16,0.0,8.444249973746742e-18,0.0
85,0.008740922656294602,2921730776916539.5,2928408610402160.0,2928408566757508.5,-0.15528012344909572,4.515590336749994e-17,1.659093532133914e-16,0.0,4.636507688359277e-69,9.273015376718553e-69,1.964038948860367e-16,0.0,3.869503301704233e-18,0.0
86,0.3184220879832871,2913758571180825.5,3826341520105962.5,3826341483651267.5,0.43479547333970486,3.391435375651394e-17,0.0,0.0,0.0,1.8546030753437107e-68,1.181647601288245e-16,0.0,1.1924596837033016e-17,0.0
87,0.11842676539066302,1468815383007717.8,1496451598488205.5,1496451597010312.2,0.8501912028449956,1.2318839104243547e-17,1.659093532133914e-16,3.318187064267828e-16,0.0,4.636507688359277e-69,0.0,0.0,4.1571114238073394e-17,0.0
88,0.4125262692222917,3316120704015415.5,4994633629738682.0,4994633611390968.0,0.8330469728064565,1.3092947650001996e-18,0.0,0.0,9.273015376718553e-69,2.781904613015566e-68,3.095529523359676e-16,0.0,2.0159176247522192e-17,0.0
