exterior_index,side,exterior_left,exterior_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
3,red,-6.0,-5.25,13,2.25,2.75,4.1981411299298764e-13,-3.7348721728340475e-13,2.964112083133152e-13,-4.224057018049233e-43,-4.323799229757802e-39
3,red,-6.0,-5.25,14,2.75,3.25,8.024129148168798e-14,-6.959088872856608e-14,5.2847063734731045e-14,-8.574414341740622e-44,-8.166496395047841e-40
3,red,-6.0,-5.25,15,3.25,3.75,2.1695406826169632e-14,-1.722837444495117e-14,1.0519897248143471e-14,-2.4543031537425403e-44,-2.1215373643746942e-40
3,red,-6.0,-5.25,16,3.75,4.25,1.2519079576797998e-14,-9.578625444132277e-15,4.974495266049006e-15,-1.4959400036872068e-44,-1.2044447247296932e-40
4,red,-5.25,-4.75,0,-4.25,-3.75,2.37017249496482e-06,-3.35190113915864e-07,-2.8286015608342806e-08,-2.8774276286193493e-37,-1.474427822690209e-32
4,red,-5.25,-4.75,1,-3.75,-3.25,1.4108614135508408e-06,-4.706573754176776e-07,1.0366809481633727e-08,-2.6077978493794004e-37,-1.0254375537536678e-32
4,red,-5.25,-4.75,2,-3.25,-2.75,7.94229524897642e-07,-3.7345169955031447e-07,6.117568922339401e-08,-1.969762074127278e-37,-6.36395947330436e-33
4,red,-5.25,-4.75,3,-2.75,-2.25,4.145440270638232e-07,-2.3559685985518123e-07,6.701672964145245e-08,-1.2893135213183314e-37,-3.543341406204607e-33
4,red,-5.25,-4.75,4,-2.25,-1.75,1.9831575358681838e-07,-1.2707255092990927e-07,4.873955686575178e-08,-7.415825580288838e-38,-1.773412919785159e-33
4,red,-5.25,-4.75,5,-1.75,-1.25,8.643175840048559e-08,-6.014701672138529e-08,2.7961910159915774e-08,-3.7754628931946135e-38,-7.988797859169917e-34
4,red,-5.25,-4.75,6,-1.25,-0.75,3.422516082683527e-08,-2.5292888533031353e-08,1.3457986288197457e-08,-1.710117039148562e-38,-3.243855168840441e-34
4,red,-5.25,-4.75,7,-0.75,-0.25,1.2306721500048486e-08,-9.519000575301428e-09,5.597334899143733e-09,-6.922675533679866e-39,-1.1895530569918438e-34
4,red,-5.25,-4.75,8,-0.25,0.25,4.023083383310618e-09,-3.224169433975021e-09,2.0468221773675415e-09,-2.5158692481842563e-39,-3.949945000974983e-35
4,red,-5.25,-4.75,9,0.25,0.75,1.19913655822222e-09,-9.881685729121046e-10,6.659859371253597e-10,-8.252601660754603e-40,-1.192146049315483e-35
4,red,-5.25,-4.75,10,0.75,1.25,3.2784006941212173e-10,-2.758944945414333e-10,1.9465947591603428e-10,-2.462323463439308e-40,-3.290550969424732e-36
4,red,-5.25,-4.75,11,1.25,1.75,8.338939752226582e-11,-7.097865061109522e-11,5.152420944506442e-11,-6.7874415421021e-41,-8.413614223147282e-37
4,red,-5.25,-4.75,12,1.75,2.25,2.06362010273689e-11,-1.7360159021474685e-11,1.2435040797559036e-11,-1.8094570478475666e-41,-2.070952678756202e-37
4,red,-5.25,-4.75,13,2.25,2.75,5.800109515690584e-12,-4.553954625877666e-12,2.8081891826204845e-12,-5.451553562070251e-42,-5.643430903233593e-38
4,red,-5.25,-4.75,14,2.75,3.25,2.5866748909301644e-12,-1.837156869012917e-12,7.830612549613447e-13,-2.5960214768277705e-42,-2.4112156076024177e-38
4,red,-5.25,-4.75,15,3.25,3.75,2.014457951180456e-12,-1.4620734295194523e-12,6.274479581554439e-13,-2.1509996358037603e-42,-1.894900081249094e-38
4,red,-5.25,-4.75,16,3.75,4.25,2.0275160698054536e-12,-1.6327014295694827e-12,9.844439688410778e-13,-2.2948767834175266e-42,-1.9950223201784214e-38
5,red,-4.75,-4.25,0,-4.25,-3.75,4.898388555939961e-06,6.164120460696769e-07,4.2632563970130357e-07,-2.8199675439971674e-37,-2.33369513599958e-32
5,red,-4.75,-4.25,1,-3.75,-3.25,3.029506405361009e-06,-4.1692487604156937e-07,-3.9145497103061285e-08,-3.6770016959863136e-37,-1.8783338599914552e-32
