virtual_index,energy_eV,frequency_Hz,x,Aup_sInv,Adn_sInv,raw_Gamma_sInv,raw_M1_Hz_sInv,raw_M2_Hz2_sInv,raw_M3_Hz3_sInv,raw_M4_Hz4_sInv,detailed_balance_abs_residual,production_use
165,10.278858,2485416806491849.5,334.3333220163725,0.07143104432484577,0.13155328974805383,0.20298433407289962,-75109102329.00105,3.523876678708031e+23,-1.1602884980368857e+35,6.123924627816216e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
166,10.284425,2486762901102918.5,357.5923292529131,0.09626083427546427,0.07298592851082898,0.16924676278629325,35636241964.53494,3.1845540762052364e+23,8.096305016262557e+34,5.998292318571478e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
167,10.290177,2488153728514965.5,381.6242691890592,0.04774618321153535,0.09842661400341449,0.14617279721494983,-68363456864.3374,2.88760301479048e+23,-1.236253798574549e+35,5.7094625401617075e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
168,10.296113,2489589046929067.0,406.4249638102306,0.07398283468142863,0.04885518813293628,0.12283802281436491,39357744243.89424,2.626587439470145e+23,9.528170913977214e+34,5.6212574789312805e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
169,10.302233,2491068856345223.0,431.99441311642727,0.03172235945276397,0.07575513968755011,0.10747749914031408,-63741092818.995415,2.396213520090316e+23,-1.3308300629113376e+35,5.346402451870832e+47,8.470329472543003e-22,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
170,10.308538,2492593398562357.5,458.3367951222381,0.058353968705040234,0.03250554139021364,0.09085951009525386,42003245229.52988,2.1920992838530153e+23,1.1022704222449625e+35,5.292668391260563e+47,4.235164736271502e-22,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
171,10.315027,2494162431781546.5,485.4479318130742,0.020644990174459768,0.059837222447035716,0.08048221262149549,-60575398069.575836,2.0105959281161744e+23,-1.4441176324528733e+35,5.0259213918558955e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
172,10.3217,2495775956002790.0,513.3278231889356,0.0471707806249566,0.021184821763663913,0.06835560238862051,44039055176.606,1.848648286955753e+23,1.2610208539709994e+35,5.002722360521485e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
173,10.328558,2497434213025011.5,541.9806472644025,0.012820278962754443,0.04843886778179407,0.061259146744548514,-58494387973.11508,1.7036847719153487e+23,-1.575845309437851e+35,4.7404029386473075e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
174,10.3356,2499136961049288.0,571.4022260249033,0.039031178897680575,0.013174298558168207,0.05220547745584878,45764288172.56531,1.5735302222190888e+23,1.431544843395799e+35,4.7451129022639376e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
175,10.342826,2500884200075618.5,601.5925594704207,0.00719363861814528,0.04013754457785681,0.04733118319600209,-57239086567.95318,1.4563361715495431e+23,-1.7270115848929713e+35,4.482539017917984e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
176,10.350237,2502676171902927.5,632.5558256155524,0.03299558115036852,0.007402842927057651,0.04039842407742617,47329472348.61774,1.350524914098405e+23,1.6176469146512583e+35,4.516399196939314e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
177,10.357832,2504512634732291.0,664.2878464457092,0.0030740313248244196,0.03397932958918403,0.03705336091400845,-56619664758.90036,1.2547442550041337e+23,-1.8999892669462223e+35,4.2497329061332074e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
178,10.365611,2506393588563709.0,696.7886219608914,0.028470142092410385,0.0031679361427828026,0.031638078235193184,48865830424.32873,1.1678306341395633e+23,1.8222230902013454e+35,4.31154477246828e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
179,10.373575,2508319275196105.5,730.0623301756877,0.0,0.029360845025596608,0.029360845025596608,-56539786781.65666,1.0887791160398455e+23,-2.0966473893904086e+35,4.037485850598128e+47,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
