physics_orbit_id,frequency_i,frequency_j,mu,branch,log_low,log_high,relative_low_high
2879,8,26,-0.7071067811865475,GL16_20,122.89658729855611,122.89658729854888,7.23332505006398e-12
2880,8,26,-0.5773502691896258,GL16_20,121.08318399867721,121.08318399866913,8.085976332982632e-12
2881,8,26,-0.5,GL16_20,120.05506442933098,120.05506442932224,8.739675649887423e-12
2882,8,26,-0.3333333333333333,GL16_20,117.94376011475589,117.9437601147457,1.0189182830851747e-11
2883,8,26,0.0,GL16_20,110.0226957332413,110.02269573322756,1.3741896509694757e-11
2884,8,26,0.3333333333333333,GL16_20,91.39608738096189,91.39608738094155,2.033573309766084e-11
2885,8,26,0.5,GL16_20,72.19749999824786,72.19749999822473,2.3135271476616484e-11
2886,8,26,0.5773502691896258,GL16_20,58.080621352693235,58.0806213526715,2.173550228713768e-11
2887,8,26,0.7071067811865475,GL16_20,17.624284959425875,17.624284959428785,-2.909672502933377e-12
2888,8,26,0.816496580927726,GL16_20,-60.82182399202987,-60.82182396599057,-2.603930193094191e-08
2890,8,27,-1.0,back_uv64_96,120.93620985034988,120.93620985034971,1.7053025658243858e-13
2891,8,27,-0.816496580927726,GL16_20,118.44993624224745,118.44993624223359,1.3855583347417942e-11
2892,8,27,-0.7071067811865475,GL16_20,116.71554433655261,116.71554433653809,1.4523493519041913e-11
2893,8,27,-0.5773502691896258,GL16_20,114.34913936202742,114.34913936201207,1.534772309253594e-11
2894,8,27,-0.5,GL16_20,112.74609158256077,112.7460915825449,1.5859313862291197e-11
2895,8,27,-0.3333333333333333,GL16_20,108.69298411286842,108.69298411285152,1.6896706256517932e-11
2896,8,27,0.0,GL16_20,97.36775216473002,97.36775216471351,1.6513013179201068e-11
2897,8,27,0.3333333333333333,GL16_20,74.60337630961834,74.60337630960065,1.7692514120583006e-11
2898,8,27,0.5,GL16_20,51.04403598477085,51.044035984754395,1.6456169760339323e-11
2899,8,27,0.5773502691896258,GL16_20,33.65235061057731,33.65235061056866,8.647305094237807e-12
2900,8,27,0.7071067811865475,GL16_20,-16.329614918085746,-16.329614913961546,-4.12419963995416e-09
2901,8,27,0.816496580927726,GL16_20,-113.47017008748601,-113.47016598361046,-4.103867133165466e-06
2903,8,28,-1.0,back_uv64_96,113.73402502502373,113.73402502502418,-4.547473508863607e-13
2904,8,28,-0.816496580927726,GL16_20,110.57356883341251,110.57356883341338,-8.668621376269465e-13
2905,8,28,-0.7071067811865475,GL16_20,108.36946408365056,108.36946408365176,-1.2079226507914409e-12
2906,8,28,-0.5773502691896258,GL16_20,105.36258621950671,105.36258621950839,-1.6768808563924305e-12
2907,8,28,-0.5,GL16_20,103.32514559908779,103.32514559908977,-1.9753088054111277e-12
2908,8,28,-0.3333333333333333,GL16_20,98.14016783766178,98.14016783766446,-2.685851541169572e-12
2909,8,28,0.0,GL16_20,82.65415582208367,82.65415582208834,-4.67537120129053e-12
2910,8,28,0.3333333333333333,GL16_20,52.04176374218045,52.04176374231922,-1.3876899628431916e-10
2911,8,28,0.5,GL16_20,21.7087597098392,21.70875972832713,-1.848793101507134e-08
2912,8,28,0.5773502691896258,GL16_20,-0.46801832419388845,-0.46801809112615356,-2.3306770772912038e-07
2913,8,28,0.7071067811865475,GL16_20,-64.00979400615054,-64.00976964076723,-2.43650864774236e-05
2914,8,28,0.816496580927726,GL16_20,-187.45487469053668,-187.45305056213587,-0.001822465689754523
3097,9,23,-1.0,back_uv64_96,136.15127190121876,136.15127190121845,3.1263880373449295e-13
3098,9,23,-0.816496580927726,GL16_20,135.6033260475585,135.60332604755396,4.547473508874981e-12
3099,9,23,-0.7071067811865475,GL16_20,136.72484692107057,136.72484692106443,6.13908923698611e-12
3100,9,23,-0.5773502691896258,GL16_20,137.11249905289017,137.1124990528859,4.263256414569689e-12
3101,9,23,-0.5,GL16_20,136.91697443358723,136.91697443358376,3.4674485505153005e-12
3102,9,23,-0.3333333333333333,GL16_20,135.78259181899188,135.78259181898957,2.3021584638653746e-12
3103,9,23,0.0,GL16_20,130.89346042748616,130.89346042748505,1.1084466677863706e-12
3104,9,23,0.3333333333333333,GL16_20,120.1241158312706,120.12411583126858,2.0179413695607206e-12
3105,9,23,0.5,GL16_20,109.25211499538449,109.25211499537826,6.224354365277849e-12
3106,9,23,0.5773502691896258,GL16_20,101.31315992486716,101.3131599248559,1.1269207789218686e-11
3107,9,23,0.7071067811865475,GL16_20,78.68591500427493,78.68591500424168,3.325340003412558e-11
3108,9,23,0.816496580927726,GL16_20,35.03926776261538,35.03926776252254,9.283951385872428e-11
3110,9,24,-1.0,back_uv64_96,133.91742249510418,133.91742249510438,-1.9895196601280826e-13
3111,9,24,-0.816496580927726,GL16_20,132.710126264923,132.710126264923,0.0
3112,9,24,-0.7071067811865475,GL16_20,132.23575599477107,132.23575599476825,2.8137492336139553e-12
3113,9,24,-0.5773502691896258,GL16_20,132.53790119738966,132.53790119738412,5.54223333894414e-12
3114,9,24,-0.5,GL16_20,132.50205997696176,132.5020599769566,5.172751116346908e-12
3115,9,24,-0.3333333333333333,GL16_20,131.53809507584415,131.5380950758402,3.950617610833961e-12
3116,9,24,0.0,GL16_20,126.29682979257322,126.29682979257082,2.4016344468720225e-12
3117,9,24,0.3333333333333333,GL16_20,114.09072787072571,114.09072787072405,1.6626700016800168e-12
3118,9,24,0.5,GL16_20,101.61673733646184,101.61673733646046,1.3784529073755445e-12
3119,9,24,0.5773502691896258,GL16_20,92.47684879593297,92.47684879593149,1.4779288903821005e-12
3120,9,24,0.7071067811865475,GL16_20,66.3639680496901,66.36396804968545,4.646949491881852e-12
3121,9,24,0.816496580927726,GL16_20,15.887884409455653,15.887884409429304,2.6348700999171043e-11
3123,9,25,-1.0,back_uv64_96,131.71906055262696,131.7190605526266,3.6948222259532036e-13
3124,9,25,-0.816496580927726,GL16_20,130.27038339683213,130.2703833968345,-2.35900188272075e-12
3125,9,25,-0.7071067811865475,GL16_20,129.26967990366185,129.26967990366416,-2.3021584638600746e-12
3126,9,25,-0.5773502691896258,GL16_20,128.20883448978893,128.20883448978924,-3.126388037343952e-13
3127,9,25,-0.5,GL16_20,127.8386047975043,127.83860479750302,1.2789769243689982e-12
3128,9,25,-0.3333333333333333,GL16_20,126.81870682375349,126.81870682375202,1.4637180356668777e-12
3129,9,25,0.0,GL16_20,121.22064757701466,121.22064757701453,1.278976924368262e-13
3130,9,25,0.3333333333333333,GL16_20,107.50682430371019,107.50682430370901,1.179500941362462e-12
3131,9,25,0.5,GL16_20,93.32593950175998,93.32593950175547,4.504840944729182e-12
3132,9,25,0.5773502691896258,GL16_20,82.90177748967253,82.9017774896646,7.929656931114157e-12
3133,9,25,0.7071067811865475,GL16_20,53.05343975964922,53.05343975962823,2.0989432414573638e-11
3134,9,25,0.816496580927726,GL16_20,-4.751672511990649,-4.751672512034906,4.4257042476216883e-11
3136,9,26,-1.0,back_uv64_96,128.19865751894335,128.19865751894332,2.842170943040441e-14
3137,9,26,-0.816496580927726,GL16_20,126.41421451639168,126.41421451639194,-2.5579538487360335e-13
3138,9,26,-0.7071067811865475,GL16_20,125.16892284661557,125.16892284661566,-8.526512829120839e-14
3139,9,26,-0.5773502691896258,GL16_20,123.47202575418086,123.47202575418069,1.7053025658243858e-13
3140,9,26,-0.5,GL16_20,122.3384213982148,122.33842139821428,5.258016244626124e-13
3141,9,26,-0.3333333333333333,GL16_20,119.72210208698172,119.72210208697892,2.7995383788987133e-12
3142,9,26,0.0,GL16_20,112.76257268341404,112.76257268340892,5.1159076974858076e-12
3143,9,26,0.3333333333333333,GL16_20,96.60607794598498,96.60607794598003,4.945377440902526e-12
3144,9,26,0.5,GL16_20,79.66458037888955,79.66458037888447,5.087485988055259e-12
3145,9,26,0.5773502691896258,GL16_20,67.15651018272455,67.15651018271974,4.803268893749813e-12
3146,9,26,0.7071067811865475,GL16_20,31.234939174346213,31.234939174347705,-1.4921397450950973e-12
3147,9,26,0.816496580927726,GL16_20,-38.501346462839265,-38.50134645216885,-1.0670412052519232e-08
3149,9,27,-1.0,back_uv64_96,123.17546225658349,123.1754622565832,2.8421709430408046e-13
3150,9,27,-0.816496580927726,GL16_20,120.92478155158099,120.924781551575,5.996980689833228e-12
3151,9,27,-0.7071067811865475,GL16_20,119.35490315666075,119.35490315665457,6.181721801131978e-12
3152,9,27,-0.5773502691896258,GL16_20,117.21312279551255,117.21312279550615,6.394884621861349e-12
3153,9,27,-0.5,GL16_20,115.76188056281329,115.7618805628068,6.494360604868404e-12
3154,9,27,-0.3333333333333333,GL16_20,112.07044088611674,112.07044088611009,6.6506800067366535e-12
3155,9,27,0.0,GL16_20,101.2332646677683,101.23326466776197,6.323830348284887e-12
3156,9,27,0.3333333333333333,GL16_20,80.3983138168734,80.398313816871,2.4016344468720225e-12
3157,9,27,0.5,GL16_20,59.265566261294175,59.26556626129487,-6.963318810446557e-13
3158,9,27,0.5773502691896258,GL16_20,43.65333588424873,43.65333588425237,-3.6379788070850955e-12
