virtual_index,Eb_eV,Aup_s_inv,Adn_s_inv,target,reconstructed,relative_residual
153,10.226427,1.1642830793767387,1.6880455355162969,3.0078904127139268e-05,3.0078904127139264e-05,-1.12641463754665e-16
154,10.229782,0.9578092956182407,1.1794912717142416,2.5279266210668492e-05,2.5279266210668492e-05,0.0
155,10.233322,0.6698584039213771,0.9710150900945601,2.1458086943684613e-05,2.1458086943684613e-05,0.0
156,10.237046,0.5858364189969287,0.6795775883202279,1.8376246702788323e-05,1.8376246702788323e-05,0.0
157,10.240955,0.4045401028482868,0.5947619682633126,1.5861937191876638e-05,1.5861937191876638e-05,0.0
158,10.245047,0.37761142059105235,0.4109943297577085,1.3789423143009446e-05,1.3789423143009446e-05,0.0
159,10.249324,0.25326641940804706,0.3839106468424116,1.2065167017188674e-05,1.2065167017188674e-05,0.0
160,10.253786,0.25437392954954935,0.25767568077816666,1.0618557799924557e-05,1.0618557799924557e-05,0.0
161,10.258431,0.16321807458177412,0.25898573680958586,9.395580872157997e-06,9.395580872157997e-06,0.0
162,10.263261,0.17792726717976917,0.16629618418642783,8.354417854473628e-06,8.354417854473628e-06,0.0
163,10.268276,0.1073226003138365,0.18141255004207033,7.46233768307227e-06,7.46233768307227e-06,0.0
164,10.273474,0.1288418645829185,0.10950234820387857,6.69346416515413e-06,6.69346416515413e-06,0.0
165,10.278858,0.07143104432484577,0.13155328974805383,6.027149622678852e-06,6.027149622678852e-06,0.0
166,10.284425,0.09626083427546427,0.07298592851082898,5.446780818062395e-06,5.446780818062395e-06,0.0
167,10.290177,0.04774618321153535,0.09842661400341449,4.938883226590989e-06,4.938883226590989e-06,0.0
168,10.296113,0.07398283468142863,0.04885518813293628,4.492448782441708e-06,4.492448782441708e-06,0.0
169,10.302233,0.03172235945276397,0.07575513968755011,4.0984230522978276e-06,4.098423052297828e-06,2.066728925847227e-16
170,10.308538,0.058353968705040234,0.03250554139021364,3.74931122061764e-06,3.7493112206176398e-06,-1.1295847389200795e-16
171,10.315027,0.020644990174459768,0.059837222447035716,3.4388724675654093e-06,3.4388724675654093e-06,0.0
172,10.3217,0.0471707806249566,0.021184821763663913,3.161881314552207e-06,3.161881314552207e-06,0.0
173,10.328558,0.012820278962754443,0.04843886778179407,2.9139393816644294e-06,2.9139393816644294e-06,0.0
174,10.3356,0.039031178897680575,0.013174298558168207,2.6913263288777296e-06,2.6913263288777296e-06,0.0
175,10.342826,0.00719363861814528,0.04013754457785681,2.4908805861136763e-06,2.4908805861136763e-06,0.0
176,10.350237,0.03299558115036852,0.007402842927057651,2.3099036852256363e-06,2.3099036852256363e-06,0.0
177,10.357832,0.0030740313248244196,0.03397932958918403,2.1460828662939424e-06,2.1460828662939424e-06,0.0
178,10.365611,0.028470142092410385,0.0031679361427828026,1.997428005480064e-06,1.997428005480064e-06,0.0
179,10.373575,0.0,0.029360845025596608,1.8622202865591502e-06,1.8622202865591502e-06,0.0
