target_i,source_j,x_i,x_j,conductance_m^-3_s^-1,K_i_from_j_s^-1,K_j_from_i_s^-1,pair_balance_relative,relative_to_Hummer_i_from_j,relative_to_v033_i_from_j
8,12,0.0,2.0,0.001979214820837034,0.0016417405716747675,0.0016388572397107231,0.0,0.00013507587041550195,-0.0007435613256314699
8,13,0.0,2.5,0.00018645375397082243,0.00015472966317851605,0.00015439005475772184,0.0,0.0005001530867192461,-0.000598423990654462
8,14,0.0,3.0,1.1994919275238258e-05,9.958424387049367e-06,9.932201440193504e-06,0.0,0.001007323503334101,-0.00031149279208686487
8,15,0.0,3.5,7.22639217895113e-07,6.002133904466302e-07,5.983698694442095e-07,0.0,0.0015654457220271034,2.6137429233186182e-05
8,16,0.0,4.0,8.909032443271972e-08,7.402962436709219e-08,7.376982106621048e-08,0.0,0.0018792991603231446,0.00011973114576502297
9,10,0.5,1.0,0.06955956960047986,0.057648336382215344,0.05762300826004393,0.0,-0.0002018701652581889,-0.000421527771389707
9,11,0.5,1.5,0.014590751059802667,0.012097576925691998,0.012086948980107745,0.0,-4.076930346841312e-05,-0.00048010717668400815
9,12,0.5,2.0,0.0020632922958339663,0.001711482067349329,0.0017092272089749307,0.0,0.00019439744537685932,-0.0004646921463411502
9,13,0.5,2.5,0.00019414589606791613,0.00016111302918996596,0.00016083007179357224,0.0,0.0005417070695221682,-0.0003372879249137206
9,14,0.5,3.0,1.3140959621573442e-05,1.0909890242851061e-05,1.0885944653884208e-05,0.0,0.0010079347343296963,-9.12005901777535e-05
9,15,0.5,3.5,1.053941091931632e-06,8.753878013456019e-07,8.730826914943589e-07,0.0,0.00138768297657621,6.836472075644195e-05
9,16,0.5,4.0,1.9486223211540573e-07,1.6192081394574664e-07,1.6142348314183877e-07,0.0,0.0015921905902862576,5.284023740226296e-05
10,11,1.0,1.5,0.016908488780728967,0.01401927446254677,0.014013115011275936,0.0,-1.5442345901006682e-05,-0.0002351410502090534
10,12,1.0,2.0,0.002306275669288766,0.0019130345508106444,0.0019113539134428517,0.0,0.00021922812171082384,-0.0002202242587654446
10,13,1.0,2.5,0.00021350072321537397,0.00017717473790661208,0.00017694131203596785,6.347766392527565e-17,0.0005579441092373738,-0.00010138546693150285
10,14,1.0,3.0,1.5257670540531171e-05,1.2667226424278896e-05,1.2644979386466625e-05,5.551522068878099e-17,0.0009646345768843378,8.52674880236215e-05
10,15,1.0,3.5,1.642983688831977e-06,1.3646378246599465e-06,1.3616426454085685e-06,0.0,0.0011491112712425089,4.982023426314264e-05
10,16,1.0,4.0,4.075843470704324e-07,3.386823014020707e-07,3.377904676379683e-07,0.0,0.0013095744874953574,-9.641672657045852e-06
11,12,1.5,2.0,0.0027096943216854455,0.002247666629166793,0.002246679102901768,0.0,0.00020987670685435056,-9.871636816871643e-06
11,13,1.5,2.5,0.00024488441474907553,0.00020321866524458342,0.00020304013365642822,0.0,0.0005469914311349022,0.00010739476424248551
11,14,1.5,3.0,1.8500747384056474e-05,1.535969435895751e-05,1.533945810904988e-05,9.156743018763168e-17,0.0008773951401466196,0.0002178546529918446
11,15,1.5,3.5,2.5971045464365666e-06,2.157116423464444e-06,2.1533279476708247e-06,0.0,0.0008882334888959953,8.932962974217418e-06
11,16,1.5,4.0,7.969270795446637e-07,6.622067292078244e-07,6.607532819553857e-07,-6.642961515831734e-17,0.0010324471562939141,-6.67164518676211e-05
12,13,2.0,2.5,0.00028909717872947977,0.00023990886822086518,0.00023980346270657718,0.0,0.0005127766587227356,0.0002929616219200515
12,14,2.0,3.0,2.311492475728553e-05,1.9190477661900824e-05,1.917361843986001e-05,0.0,0.0007543180465479082,0.00031463002076792534
12,15,2.0,3.5,4.041811632804125e-06,3.3570686500218518e-06,3.3526457415245558e-06,0.0,0.0006278739306517789,-3.1502552031326125e-05
